path,branch,n,Q1_var,Q1_mean_cos,Q1_eff_rank,Q1_frac_var_sv1,Q1_mean_pair_dist,Q1_mean_norm,wgin1_var,wgin1_mean_cos,wgin1_eff_rank,wgin1_frac_var_sv1,wgin1_mean_pair_dist,wgin1_mean_norm,bn1_var,bn1_mean_cos,bn1_eff_rank,bn1_frac_var_sv1,bn1_mean_pair_dist,bn1_mean_norm,wgin2_var,wgin2_mean_cos,wgin2_eff_rank,wgin2_frac_var_sv1,wgin2_mean_pair_dist,wgin2_mean_norm,bn2_var,bn2_mean_cos,bn2_eff_rank,bn2_frac_var_sv1,bn2_mean_pair_dist,bn2_mean_norm,h_var,h_mean_cos,h_eff_rank,h_frac_var_sv1,h_mean_pair_dist,h_mean_norm,h_pairwise_subsampled,h_n_pairwise,h_nn_cos_max,h_near_dup,z_var,z_mean_cos,z_eff_rank,z_frac_var_sv1,z_mean_pair_dist,z_mean_norm,z_pairwise_subsampled,z_n_pairwise,z_nn_cos_max,z_near_dup,rank1_recon_relerr,rank1_Q1_R2
P,B,8,4.69402481605636,0.9713865749919394,1.3580152289206322,0.9898397391434699,4.2155184686092415,13.611114692111627,0.4143700267585669,0.9817383380906063,1.6500845478987487,0.9812654616511021,4.126519609820425,13.225382500133433,0.41436587723797164,0.9817383381190475,1.650085682580289,0.9812654617478189,4.126498949506002,13.225316280188594,222.9574312946558,0.9640041385557669,1.394189264666004,0.9959977309094108,92.69929924173164,298.13866515957005,222.95519890617047,0.9640041385514297,1.3941897513353652,0.9959977308374041,92.69883516655942,298.13717254156086,3904464.413802868,0.9878773888320597,2.016322036094406,0.9219395240769622,14820.242892156804,26794.764267463237,False,8,0.9999809861183167,3,2397656.6302261148,0.9800222253097236,2.0759578325428536,0.8784900789538006,11680.413411296553,20247.84518439059,False,8,0.999978244304657,3,0.13223052045862263,0.9894425232350507
P,C,8,6.808249110540643,0.9716187865533288,1.3814886016342496,0.9886650196202342,5.070191583668145,16.451448946198887,0.6569054195217583,0.9824724170709251,1.6098892425033777,0.9822039548956194,5.167527128825507,16.860645672169152,0.6568988424979505,0.982472417075946,1.609890464383127,0.9822039549148218,5.167501259349508,16.860561258321745,362.9051438771581,0.963477253513297,1.3774166735239342,0.995801128287463,117.0188002013776,383.5236958350617,362.9015100181446,0.9634772536162934,1.3774172885724554,0.9958011282570501,117.01821433917199,383.5217755198593,8641995.401054578,0.9826473852413121,2.2470745702955086,0.9377336338978131,21878.16349046873,34472.21195287503,False,8,0.9996597170829773,0,5145211.674618939,0.9781433589564834,2.3517198893615094,0.925840579605834,16928.05644555114,26014.816689675823,False,8,0.9996190071105957,0,0.13758393962198437,0.98245800762944
P,D,8,27.741301514337653,0.06949423429337148,1.768600489697358,0.9189422359012993,10.03396211857444,7.5879138678293385,1.415548445378376,0.5203311893825088,4.856702510607249,0.7186456497144675,7.516216127818253,6.752586400243271,1.4155342714687718,0.5203311893523719,4.856702597153665,0.7186456498625897,7.516178496932568,6.752552592731437,89.53804278264155,0.8288152897562142,5.269290592696258,0.753800035535657,60.70451515101268,104.01009399747322,89.53714626472026,0.8288152896381404,5.269290932112465,0.7538000358009421,60.704211236372316,104.00957322473118,472516.22021046653,0.8924468603018308,4.474638240021381,0.43113080168413354,5562.534778521178,8602.075622606064,False,8,0.9945237040519714,0,273991.43429881055,0.8903049659183092,4.429848895310838,0.44198238597803063,4254.804981140967,6596.046734707117,False,8,0.9936711192131042,0,0.2638732985426583,0.8886911462191367
O,B,8,4.69402481605636,0.9713865749919394,1.3580152289206322,0.9898397391434699,4.2155184686092415,13.611114692111627,0.4143700267585669,0.9817383380906063,1.6500845478987487,0.9812654616511021,4.126519609820425,13.225382500133433,0.41436587723797164,0.9817383381190475,1.650085682580289,0.9812654617478189,4.126498949506002,13.225316280188594,181.194882989153,0.9588973961120271,1.3951393198985138,0.9955333533795432,83.76406335366197,267.70864181618737,181.1930681318329,0.9588973960336886,1.3951398313733763,0.9955333533502966,83.76364387156468,267.70730145236297,3.303006983837112,0.9854143267501497,3.079371817514762,0.8590902977847656,12.716571923314996,88.12031918681468,False,8,0.9999244809150696,1,1.6125734232768094,0.987328479853148,3.3531463611227723,0.7168560743815638,9.34048709423273,64.78297397045768,False,8,0.9999010562896729,1,0.13223052045862263,0.9894425232350507
O,C,8,6.808249110540643,0.9716187865533288,1.3814886016342496,0.9886650196202342,5.070191583668145,16.451448946198887,0.6569054195217583,0.9824724170709251,1.6098892425033777,0.9822039548956194,5.167527128825507,16.860645672169152,0.6568988424979505,0.982472417075946,1.609890464383127,0.9822039549148218,5.167501259349508,16.860561258321745,312.69950282371695,0.9593870306298983,1.3825666766555724,0.9960079271187714,108.7221151401328,354.936317430861,312.6963721149636,0.959387030519181,1.3825670878161933,0.9960079270835305,108.72157089208861,354.93454049484683,7.379267959232715,0.9657472136918938,2.646486742253905,0.9503650884708517,19.791925443995865,88.14445750229689,False,8,0.9994931817054749,0,4.260118529223228,0.963376808977953,2.8984945645352127,0.9054261311464726,15.321052703000476,64.19081713630396,False,8,0.9994646906852722,0,0.13758393962198437,0.98245800762944
O,D,8,27.741301514337653,0.06949423429337148,1.768600489697358,0.9189422359012993,10.03396211857444,7.5879138678293385,2.0605763500002183,0.923534991754734,2.3434212775974967,0.9531496866255501,9.389192250698102,19.14379307503204,2.060555718804589,0.9235349916968657,2.3434220328083293,0.9531496866121412,9.38914524472517,19.14369723018062,479.7169370279679,0.9310892930237509,1.7532499896481242,0.9861022910770003,136.11928823556815,404.53278627042585,479.71213345635203,0.9310892930600898,1.7532502775786656,0.9861022910996551,136.1186067555139,404.53076089773344,2.670052371069466,0.9905444243697307,2.7106540853557672,0.8516832644302098,10.721581094711308,86.70584181039922,False,8,0.99989914894104,0,1.8853487552384547,0.9864766390427345,2.5527170395454486,0.8520059110246994,8.993840648484923,62.747748870052696,False,8,0.9998582005500793,0,0.2638732985426583,0.8886911462191367
C,B,8,4.69402481605636,0.9713865749919394,1.3580152289206322,0.9898397391434699,4.2155184686092415,13.611114692111627,0.4143700267585669,0.9817383380906063,1.6500845478987487,0.9812654616511021,4.126519609820425,13.225382500133433,0.41436587723797164,0.9817383381190475,1.650085682580289,0.9812654617478189,4.126498949506002,13.225316280188594,181.194882989153,0.9588973961120271,1.3951393198985138,0.9955333533795432,83.76406335366197,267.70864181618737,181.1930681318329,0.9588973960336886,1.3951398313733763,0.9955333533502966,83.76364387156468,267.70730145236297,3.303006983837112,0.9854143267501497,3.079371817514762,0.8590902977847656,12.716571923314996,88.12031918681468,False,8,0.9999244809150696,1,1.6125734232768094,0.987328479853148,3.3531463611227723,0.7168560743815638,9.34048709423273,64.78297397045768,False,8,0.9999010562896729,1,0.13223052045862263,0.9894425232350507
C,C,8,6.808249110540643,0.9716187865533288,1.3814886016342496,0.9886650196202342,5.070191583668145,16.451448946198887,0.6569054195217583,0.9824724170709251,1.6098892425033777,0.9822039548956194,5.167527128825507,16.860645672169152,0.6568988424979505,0.982472417075946,1.609890464383127,0.9822039549148218,5.167501259349508,16.860561258321745,312.69950282371695,0.9593870306298983,1.3825666766555724,0.9960079271187714,108.7221151401328,354.936317430861,312.6963721149636,0.959387030519181,1.3825670878161933,0.9960079270835305,108.72157089208861,354.93454049484683,7.379267959232715,0.9657472136918938,2.646486742253905,0.9503650884708517,19.791925443995865,88.14445750229689,False,8,0.9994931817054749,0,4.260118529223228,0.963376808977953,2.8984945645352127,0.9054261311464726,15.321052703000476,64.19081713630396,False,8,0.9994646906852722,0,0.13758393962198437,0.98245800762944
C,D,8,27.741301514337653,0.06949423429337148,1.768600489697358,0.9189422359012993,10.03396211857444,7.5879138678293385,2.0605763500002183,0.923534991754734,2.3434212775974967,0.9531496866255501,9.389192250698102,19.14379307503204,2.060555718804589,0.9235349916968657,2.3434220328083293,0.9531496866121412,9.38914524472517,19.14369723018062,479.7169370279679,0.9310892930237509,1.7532499896481242,0.9861022910770003,136.11928823556815,404.53278627042585,479.71213345635203,0.9310892930600898,1.7532502775786656,0.9861022910996551,136.1186067555139,404.53076089773344,2.670052371069466,0.9905444243697307,2.7106540853557672,0.8516832644302098,10.721581094711308,86.70584181039922,False,8,0.99989914894104,0,1.8853487552384547,0.9864766390427345,2.5527170395454486,0.8520059110246994,8.993840648484923,62.747748870052696,False,8,0.9998582005500793,0,0.2638732985426583,0.8886911462191367
