repr,target,mean_r2,max_r2,median_r2
h,global6,0.542309029611525,0.8801605897931579,0.7191443801754505
h,regional_signed90,0.590385930106481,0.7549742808197836,0.6268196425549397
h,regional_abs90,0.5667790786127532,0.7697997229750124,0.6374235288674053
z,global6,0.6936070153117821,0.8802831558401566,0.7283852820044507
z,regional_signed90,0.6054541184107196,0.7629573367737628,0.6442106361692599
z,regional_abs90,0.609050901530018,0.7775965128598574,0.6531012095441634
