batch_size,mode,max_dh_across_companions,max_dz
2,eval,0.0,0.0
2,train,32.976318359375,21.801610946655273
8,eval,0.0,0.0
8,train,37.87358856201172,9.633870124816895
32,eval,0.0,0.0
32,train,19.356035232543945,13.936136245727539
