source,pc1,pc2,pc3,eff_rank,pearson,spearman,subj_eff_rank_mean,subj_eff_rank_sd,subj_eff_rank_min,subj_eff_rank_max
RAW,0.9184078135424366,0.08119791614375005,0.0003942703138133859,1.8417456473734253,"[[1.0, 0.7892452758337284, 0.8916271455028442], [0.7892452758337284, 1.0, 0.9800929503089028], [0.8916271455028443, 0.9800929503089029, 1.0]]","[[1.0, 0.7709265449971933, 0.8772316304622502], [0.7709265449971933, 1.0, 0.9779253689403978], [0.8772316304622502, 0.9779253689403978, 1.0]]",1.8151888081540823,0.08356392864282311,1.6471841314591276,1.9207159463682206
M1_B,0.9138565221891379,0.08565496279081716,0.0004885150200449717,1.8640879988457364,"[[1.0, 0.7791938311091257, 0.884360203507801], [0.7791938311091258, 0.9999999999999998, 0.9796765656201284], [0.8843602035078009, 0.9796765656201284, 1.0]]","[[1.0, 0.7709243126068576, 0.875149033617748], [0.7709243126068576, 1.0, 0.9783786760290974], [0.8751490336177481, 0.9783786760290973, 1.0]]",1.8151888081540821,0.08356392864282315,1.6471841314591273,1.9207159463682206
M1_C,0.8972753583379705,0.09982585651080243,0.002898785151227146,2.0344075912403294,"[[1.0, 0.7240118151566203, 0.8405833585069903], [0.7240118151566203, 1.0, 0.9727144075659507], [0.8405833585069903, 0.9727144075659507, 1.0]]","[[1.0, 0.6921953101248925, 0.8195399551103889], [0.6921953101248925, 1.0, 0.9707137758096618], [0.8195399551103889, 0.9707137758096618, 1.0]]",1.8166978242217096,0.09221069498838315,1.6305140845797779,1.9408301402767303
M1_D,0.9276524808298588,0.0715727670154975,0.0007747521546436775,1.8555206679229335,"[[0.9999999999999998, 0.7962061657961105, 0.895324073523664], [0.7962061657961105, 1.0, 0.9797608298750836], [0.8953240735236642, 0.9797608298750835, 0.9999999999999998]]","[[1.0, 0.7746749768678822, 0.8789958121061189], [0.7746749768678822, 1.0, 0.9775285381851945], [0.8789958121061189, 0.9775285381851945, 1.0]]",1.8186636313645255,0.08571038248319532,1.6438940018285642,1.9384077591012876
