unit,fold,epoch,lr,train_loss,val_loss,train_auc,val_auc,grad_net,grad_head,move_net,move_head
h256_wd0.001_s2,o0,1,0.0005,0.7072683760994359,0.7054600119590759,0.6766096801646038,0.5529109589041095,0.8864325805524269,0.2705840296661762,0.22556492686271667,0.026911748573184013
h256_wd0.001_s2,o0,2,0.0005,0.6703581559030634,0.6740732192993164,0.7527173620312617,0.635958904109589,0.8262710438566971,0.27626286668517186,0.27466312050819397,0.031516700983047485
h256_wd0.001_s2,o0,3,0.0005,0.6473406961089686,0.6767352819442749,0.7621971582156438,0.6453767123287671,0.9543281777073174,0.3444568688664809,0.3073295056819916,0.025846390053629875
h256_wd0.001_s2,o0,4,0.0005,0.6285790518710488,0.65313720703125,0.790485731829493,0.6892123287671232,1.186674749287859,0.4482593871491593,0.3381362557411194,0.02917764149606228
h256_wd0.001_s2,o0,5,0.0005,0.6078995058411046,0.6501078605651855,0.8066229303342706,0.6897260273972603,1.1022486820194175,0.35324183887616656,0.3701411783695221,0.038905732333660126
h256_wd0.001_s2,o0,6,0.0005,0.6566130550284135,0.7210317254066467,0.7590515894817352,0.6955479452054795,1.6316445795898822,0.546935622642465,0.3932192921638489,0.03485869616270065
h256_wd0.001_s2,o0,7,0.0005,0.6281291215043319,0.6305703520774841,0.8328647297719464,0.715068493150685,1.1614391082042783,0.3625751749114925,0.4173631966114044,0.037451568990945816
h256_wd0.001_s2,o0,8,0.0005,0.6074360279660476,0.6500816345214844,0.826110374990574,0.702054794520548,1.0428231069335776,0.31141425793448807,0.4369572699069977,0.03907598927617073
h256_wd0.001_s2,o0,9,0.0005,0.5638996911676306,0.6130027770996094,0.8469012916222302,0.7272260273972603,0.9174814892894664,0.27517751824088355,0.4574471414089203,0.04661925882101059
h256_wd0.001_s2,o0,10,0.0005,0.540668249130249,0.6363157629966736,0.8538926413082117,0.725,0.8555526726604239,0.2817769641716643,0.4783521890640259,0.0635809451341629
h256_wd0.001_s2,o0,11,0.0005,0.5387561744765231,0.5963346362113953,0.869038770211895,0.7371575342465753,1.237396437469804,0.3582627688402668,0.49994030594825745,0.08313445001840591
h256_wd0.001_s2,o0,12,0.0005,0.5062877535820007,0.6006758213043213,0.879445001023387,0.739554794520548,1.0689266552107772,0.2728349680359633,0.5203886032104492,0.10506145656108856
h256_wd0.001_s2,o0,13,0.0005,0.49503136465423986,0.5758166909217834,0.893643150308632,0.7618150684931506,1.0808745933428314,0.26409663683027434,0.5412157773971558,0.1349339783191681
h256_wd0.001_s2,o0,14,0.0005,0.4707666149264888,0.5835678577423096,0.9031014015016859,0.7546232876712329,1.1465701712691696,0.2697831786665896,0.5603355765342712,0.15837737917900085
h256_wd0.001_s2,o0,15,0.0005,0.4766997051866431,0.5726560950279236,0.915511316506695,0.7659246575342465,1.4005644843536065,0.3594729236363805,0.5814871788024902,0.1784755140542984
h256_wd0.001_s2,o0,16,0.0005,0.45042529388477925,0.5883625149726868,0.9200034471986124,0.7678082191780822,1.3303841130059404,0.2849207200784995,0.5996031761169434,0.19806285202503204
h256_wd0.001_s2,o0,17,0.0005,0.4353796102498707,0.6896847486495972,0.9209621993127148,0.7613013698630138,1.3103456170735313,0.26341131574887555,0.6175172328948975,0.22458742558956146
