unit,fold,epoch,lr,train_loss,val_loss,train_auc,val_auc,grad_net,grad_head,move_net,move_head
h512_wd1e-05_s1,o0,1,0.0005,0.7103059103614405,0.6881543397903442,0.6552801387497441,0.6318493150684931,1.1914528700554032,0.3643589255891587,0.2282722145318985,0.033111318945884705
h512_wd1e-05_s1,o0,2,0.0005,0.6805529594421387,0.6710816621780396,0.7625741955638864,0.654109589041096,0.9446792748416006,0.27988791033563915,0.27282416820526123,0.045030269771814346
h512_wd1e-05_s1,o0,3,0.0005,0.6480526610424644,0.6650710701942444,0.7731204688190112,0.6518835616438355,0.8441550333882514,0.25478721720976366,0.30069416761398315,0.04062124341726303
h512_wd1e-05_s1,o0,4,0.0005,0.6305839638960989,0.6436371803283691,0.794169925346605,0.6888698630136987,1.1315261486458983,0.35878135425990826,0.3274058997631073,0.036826618015766144
h512_wd1e-05_s1,o0,5,0.0005,0.6118140408867284,0.6365042328834534,0.8152193818741988,0.6912671232876711,1.2168938634487463,0.36885320606381694,0.3576095998287201,0.037413857877254486
h512_wd1e-05_s1,o0,6,0.0005,0.5675866101917467,0.6138649582862854,0.8443697551411736,0.7205479452054794,1.2176232784407057,0.35916368831713097,0.3850470781326294,0.047506462782621384
h512_wd1e-05_s1,o0,7,0.0005,0.5424780484877134,0.6363388299942017,0.8634586174579064,0.7428082191780823,1.2539166057055404,0.3765027228053238,0.4107711911201477,0.06358011066913605
h512_wd1e-05_s1,o0,8,0.0005,0.5256788809048502,0.6062926054000854,0.8831615120274915,0.7385273972602739,1.6600471839621076,0.47801310986586715,0.43547365069389343,0.07743417471647263
h512_wd1e-05_s1,o0,9,0.0005,0.5138032953990134,0.5879416465759277,0.8985984983141044,0.7467465753424657,1.9069232502826163,0.5193164512368335,0.45842623710632324,0.09295635670423508
h512_wd1e-05_s1,o0,10,0.0005,0.5255967786437586,0.7700580954551697,0.8811470553383102,0.7145547945205479,2.074508334833542,0.5545493150656826,0.47973769903182983,0.0997239425778389
h512_wd1e-05_s1,o0,11,0.0005,0.557109567679857,0.5809537172317505,0.9123011127988022,0.7587328767123287,2.5575430693835544,0.6547614845407059,0.4997413456439972,0.08478943258523941
h512_wd1e-05_s1,o0,12,0.0005,0.4540721632932362,0.5871354937553406,0.9175257731958764,0.7616438356164383,1.310161492022888,0.32085328531693497,0.5154770612716675,0.09782220423221588
h512_wd1e-05_s1,o0,13,0.0005,0.44809777328842565,0.6211085319519043,0.9241185405422875,0.7659246575342465,1.5449388328086051,0.35349183201997125,0.530096173286438,0.12252330034971237
h512_wd1e-05_s1,o0,14,0.0005,0.42296311259269714,0.5822630524635315,0.9319393723944027,0.7700342465753424,1.3155337520998323,0.3068465191423552,0.5459785461425781,0.1495111733675003
h512_wd1e-05_s1,o0,15,0.0005,0.3997570291945809,0.6125206351280212,0.9404388714733543,0.7707191780821918,1.381904920759054,0.2944284445630958,0.5604996085166931,0.17638583481311798
h512_wd1e-05_s1,o0,16,0.0005,0.39771706806985957,0.6079672574996948,0.9451033620958966,0.7590753424657533,1.5618185511239175,0.28883704056031495,0.5749193429946899,0.1967857927083969
h512_wd1e-05_s1,o0,17,0.0005,0.3741752238650071,0.6502328515052795,0.9486151956823837,0.759931506849315,1.4938905822944837,0.27364238078217107,0.5895255208015442,0.22708986699581146
h512_wd1e-05_s1,o0,18,0.0005,0.35075800277684865,0.650439441204071,0.9539475810360987,0.7558219178082193,1.568821589062746,0.2669800949913308,0.6045495271682739,0.25343477725982666
h512_wd1e-05_s1,o0,19,0.0005,0.3622263215090099,0.5878018736839294,0.9580411293884453,0.7784246575342465,1.8059402370086493,0.32366115149325003,0.6179291009902954,0.27899932861328125
h512_wd1e-05_s1,o0,20,0.0005,0.3555375517983186,0.5987071394920349,0.9681349578256795,0.7703767123287671,1.9227717264169395,0.3243387969081893,0.6326063871383667,0.29952454566955566
h512_wd1e-05_s1,o0,21,0.0005,0.3308592846519069,0.6974995136260986,0.9681888203039999,0.7517123287671232,2.006627705987987,0.30933455757419187,0.646565318107605,0.32146427035331726
h512_wd1e-05_s1,o0,22,0.0005,0.339703032844945,0.7427307963371277,0.9707957642547049,0.7748287671232876,2.3212390960117775,0.3423979408660615,0.6591731309890747,0.339546799659729
h512_wd1e-05_s1,o0,23,0.0005,0.31653207854220744,0.6196702122688293,0.9773131241314675,0.7642123287671233,1.906406970363446,0.27861733421406454,0.6727687120437622,0.35754430294036865
h512_wd1e-05_s1,o0,24,0.0005,0.2918967063489713,0.6246241331100464,0.9801032005084618,0.7650684931506849,1.6495732544239972,0.23403993403502077,0.6851220726966858,0.3824084997177124
h512_wd1e-05_s1,o0,25,0.0005,0.25605150116117376,0.6375480890274048,0.9827855519288153,0.7636986301369862,1.276930473943716,0.20043030420391744,0.6966935396194458,0.4169822335243225
