featset,n_feat,site_bacc,site_acc,site_chance,r2_TR,r2_T,r2_age,r2_func_mean_fd
FC_only,4005,0.6356383263774886,0.7264150943396226,0.05263157894736842,0.2927896347500062,0.49957284893253695,0.4955532640652407,0.4526615584804402
M1B_only,270,0.5345157755857047,0.6111111111111112,0.05263157894736842,0.43347085817333963,0.503015816676017,0.30983147990460924,0.26557316376137674
M1C_only,270,0.5150981953763795,0.5964360587002097,0.05263157894736842,0.42642210021246274,0.4779259765529298,0.31995964503934404,0.2581257790499848
M1D_only,270,0.5261383822378722,0.6090146750524109,0.05263157894736842,0.43003542230848313,0.4827662438094088,0.31629021134442903,0.25691807346238127
FC+M1D,4275,0.7230451488102375,0.8039832285115304,0.05263157894736842,0.48137772415911073,0.6160397614988172,0.5308107339916893,0.45684277254820616
