cond,n_perm,observed_auc,perm_mean,perm_sd,perm_p2p5,perm_p97p5,perm_max,perm_bacc_mean,p_value
FC+M1D|linsvm,480,0.7566341474157106,0.4996111453676583,0.024546372441037134,0.45237155629941195,0.5491452135039309,0.5754894404193002,0.49955037364105503,0.002079002079002079
FC_only|linsvm,480,0.756484397366161,0.49900910795950876,0.024132922275296453,0.45860655376687437,0.5498805302913519,0.5810654275584135,0.49843975037988064,0.002079002079002079
FC_only|logreg,480,0.7561276398951751,0.49734477196150545,0.023490145959479063,0.4507761677200555,0.5455528639696976,0.5656852165870202,0.4966650150117084,0.002079002079002079
M1D_only|linsvm,480,0.6486026999053051,0.5006471275885104,0.02498071687268004,0.4495211301724328,0.5528982140104385,0.572837983659627,0.5004252598603801,0.002079002079002079
