cond,seed,perm_auc,perm_bacc
FC_only|linsvm,20260818,0.480195555947059,0.4684379748508005
FC_only|linsvm,20260819,0.5347398092889075,0.5068686824197846
FC_only|linsvm,20260820,0.5164174502851857,0.4982382347111805
FC_only|linsvm,20260821,0.4688453830738399,0.4823361007729745
FC_only|linsvm,20260822,0.4836662335660332,0.4879935695566958
FC_only|linsvm,20260823,0.4821158801118721,0.4938756634147415
FC_only|linsvm,20260824,0.485383954722632,0.4885088859036754
FC_only|linsvm,20260825,0.5001695699090489,0.4891893677464819
FC_only|linsvm,20260826,0.4803276883437204,0.4826928582439604
FC_only|linsvm,20260827,0.4930079940099979,0.4901583386553326
FC_only|linsvm,20260828,0.4982007971987932,0.495459049968068
FC_only|linsvm,20260829,0.5173599947147042,0.5015679711070492
FC_only|linsvm,20260830,0.5034156224536985,0.503087493668656
FC_only|linsvm,20260831,0.5315025655707019,0.519797837433108
FC_only|linsvm,20260832,0.4837851527230284,0.4828866524257306
FC_only|linsvm,20260833,0.459851571274417,0.4752251756259772
FC_only|linsvm,20260834,0.4701314717346782,0.4616177409764584
FC_only|linsvm,20260835,0.4904842652337642,0.4965909841661344
FC_only|linsvm,20260836,0.5046796890484264,0.4959765685216587
FC_only|linsvm,20260837,0.4622387632407672,0.4748375872624369
FC_only|linsvm,20260838,0.5432359223942391,0.5397079874033781
FC_only|linsvm,20260839,0.5048470567508644,0.4966218150586887
FC_only|linsvm,20260840,0.5132330595256447,0.5033451518421458
FC_only|linsvm,20260841,0.4826223876324076,0.4960734656125437
FC_only|linsvm,20260842,0.4953467374309057,0.5009535554625735
FC_only|linsvm,20260843,0.5149067365500232,0.5068686824197846
FC_only|linsvm,20260844,0.4591997181175538,0.466854588297474
FC_only|linsvm,20260845,0.517892928714572,0.4974960910832654
FC_only|linsvm,20260846,0.5110704926336189,0.508808826444097
FC_only|linsvm,20260847,0.48411107930146,0.4815939571450593
FC_only|linsvm,20260848,0.5488075051201304,0.5332423087934111
FC_only|linsvm,20260849,0.5123125371622366,0.5230945407298113
FC_only|linsvm,20260850,0.5112202426831686,0.5093263449976877
FC_only|linsvm,20260851,0.5116871104847056,0.5102953159065383
FC_only|linsvm,20260852,0.5239930410271091,0.5059635755026537
FC_only|linsvm,20260853,0.4932546411504327,0.4881543306393006
FC_only|linsvm,20260854,0.4961527450505406,0.5038957034949019
FC_only|linsvm,20260855,0.5018300336937611,0.5095509700720121
FC_only|linsvm,20260856,0.5486137109383602,0.5477570525666718
FC_only|linsvm,20260857,0.4981259221740184,0.4900614415644475
M1D_only|linsvm,20260818,0.4958180096456649,0.4941993877865621
