source,band,roi,cohen_d,hedges_g,mwu_p,fdr_q,fdr_sig,univar_auc,univar_auc_dev,mutual_info
M1,slow4,16,0.12561402242622002,0.12551503580492276,0.0995584787866652,0.21984142197650283,False,0.5308374991741726,0.030837499174172556,0.02441103275541634
M1,slow4,17,0.08776689624962851,0.08769773399884077,0.370464498775381,0.4630806234692263,False,0.5167698033429496,0.01676980334294964,0.0
M1,slow4,18,0.09982880944704121,0.09975014214251242,0.15458874827300903,0.2898539030118919,False,0.5266533066132264,0.026653306613226402,0.022645368882834305
M1,slow4,19,0.1095567180747401,0.10947038496357009,0.17713161181217119,0.3188369012619081,False,0.5252703208615032,0.02527032086150316,0.013168921596546035
M1,slow4,20,0.14402180973408274,0.1439083173702261,0.05528921768140737,0.13822304420351844,False,0.53588495672664,0.03588495672664005,0.009928556519795295
M1,slow4,21,0.20543803238325278,0.20527614268082311,0.005809797264408353,0.03028470348100426,True,0.5516439472351296,0.05164394723512955,0.019691199329908704
M1,slow4,22,0.052916990122426885,0.05287529036661725,0.7094172460372276,0.7692476161849455,False,0.5069787927503359,0.0069787927503358604,0.03804596380386949
M1,slow4,23,0.09345270085615509,0.09337905806588231,0.27070130870662723,0.3792795950988914,False,0.5206236649122421,0.0206236649122421,0.00889806930035153
M1,slow4,24,0.028629195304983063,0.028606634867390485,0.8777243177795643,0.9099099358638086,False,0.4971173115461692,0.002882688453830773,0.01269345105368802
M1,slow4,25,0.13188125467448922,0.13177732933589623,0.2899813082055721,0.38379879027208075,False,0.5198132528793852,0.01981325287938518,0.0
M1,slow4,26,0.1361720013521234,0.13606469481047476,0.10259266358903465,0.21984142197650283,False,0.5305644255544055,0.030564425554405528,0.0164257064033142
M1,slow4,27,0.23115401633795288,0.23097186187275354,0.0006088997878767211,0.007828711558414986,True,0.5641745028518576,0.06417450285185755,0.03143665858933509
M1,slow4,28,0.11226306089491511,0.11217459512588838,0.09467648785885004,0.2184842027511924,False,0.5312911537360435,0.03129115373604352,0.0
M1,slow4,29,0.04456039941958176,0.044525284841630944,0.4367208491995169,0.5171694266836384,False,0.5145631923187033,0.014563192318703289,0.03553695756983566
M1,slow4,30,0.04068702009436893,0.04065495782479102,0.8795796046683484,0.9099099358638086,False,0.5028386443216102,0.002838644321610184,0.0
M1,slow4,31,0.08368199191225657,0.08361604865621855,0.7771707638321632,0.8326829612487463,False,0.5053007113127354,0.005300711312735351,0.008199535927474688
M1,slow4,32,0.05791709844513903,0.05787145849364562,0.4086881852697487,0.4904258223236984,False,0.5154705014424453,0.015470501442445328,0.021139354532295318
M1,slow4,33,0.06308925666080764,0.06303954093451859,0.26209833770745083,0.3792795950988914,False,0.5209980400361162,0.02099804003611616,0.0
M1,slow4,34,-0.12623731247691358,-0.12613783468930373,0.014839697540556477,0.05623064773421738,False,0.45438569446585486,0.04561430553414514,0.006004874215610023
M1,slow4,35,-0.060687259124945665,-0.06063943622571403,0.21680371600707427,0.33641955932132217,False,0.47687462837763445,0.023125371622365554,0.00944390097302561
M1,slow4,36,0.16448288902943273,0.16435327288362545,0.018447206350054004,0.06640994286019442,False,0.5441212094518708,0.04412120945187081,0.01066072745576041
M1,slow4,37,0.14715203370490912,0.14703607465549626,0.04574286629579936,0.12475327171581642,False,0.5374044792882469,0.03740447928824686,0.0
M1,slow4,38,0.21295431949506846,0.21278650679255068,0.0060569406962008515,0.03028470348100426,True,0.5513884912682507,0.051388491268250736,0.0
M1,slow4,39,0.16186624581450046,0.1617386916412818,0.04428291295116122,0.12475327171581642,False,0.5376599352551257,0.037659935255125676,0.006345379273096308
M1,slow4,40,0.09473601324251744,0.09466135917376842,0.1002372831977636,0.21984142197650283,False,0.5307758373890639,0.030775837389063865,0.0
M1,slow4,41,0.17287079674911326,0.1727345707469469,0.054309503072574275,0.13822304420351844,False,0.5360303023629677,0.03603030236296767,0.0
M1,slow4,42,0.05973454315375317,0.05968747101572815,0.28923132592043244,0.38379879027208075,False,0.5198440837719395,0.01984408377193947,0.0
M1,slow4,43,0.08657185397057146,0.08650363343946778,0.27193126096374143,0.3792795950988914,False,0.5205708119535775,0.02057081195357746,0.006633826421514
M1,slow4,44,0.11786011813234981,0.11776724175872305,0.0762133206503525,0.18050523311925593,False,0.5331982646611905,0.03319826466119047,0.010266484589581015
M1,slow4,45,0.10381978531535944,0.10373797303378705,0.1361400660384922,0.2606937434779638,False,0.5279041599682883,0.027904159968288322,0.005909154671592365
M1,slow4,46,0.06333561031692939,0.06328570045852361,0.2509566693794778,0.3764350040692167,False,0.5214957387302076,0.021495738730207603,0.0
M1,slow4,47,0.04721056267217945,0.04717335970711075,0.33820896128820765,0.4287155847315309,False,0.5179325684335705,0.017932568433570495,0.028136962939765198
M1,slow4,48,0.0925781444759371,0.09250519085538868,0.1968453970518066,0.33641955932132217,False,0.524164813142769,0.02416481314276897,0.0064116638421019
M1,slow4,49,0.05230132057176779,0.052260105977148585,0.5296156584675452,0.6033596109123932,False,0.5117707943359245,0.01177079433592454,0.0
M1,slow4,50,0.08256342806051957,0.08249836625747739,0.21073767248885522,0.33641955932132217,False,0.523433680547909,0.023433680547908953,0.0
M1,slow4,51,0.0958896668187443,0.09581410364552229,0.20673424698390497,0.33641955932132217,False,0.5236406879693453,0.023640687969345264,0.00269599766574391
M1,slow4,52,0.049154267735203615,0.04911553308765814,0.6738533129499191,0.7395950995791795,False,0.5078816974608558,0.007881697460855763,0.0
M1,slow4,53,0.0012390670552903352,0.0012380906431112254,0.8090873286530111,0.8566807009267178,False,0.4954744654143452,0.0045255345856548,0.0
M1,slow4,54,0.13226289363676427,0.13215866755824832,0.06050793041534405,0.1471814523616477,False,0.535145015305336,0.03514501530533598,0.008862013000421776
M1,slow4,55,0.07425718765463467,0.07419867135230634,0.2964634068502746,0.3866914002394886,False,0.5195489880860622,0.019548988086062202,0.0
M1,slow4,56,0.03882398466308861,0.03879339050653771,0.9250291465452787,0.9460525362394896,False,0.4982360325045696,0.0017639674954303963,0.0
M1,slow4,57,0.043196084821901785,0.043162045353957026,0.9373713864937352,0.9479036492633277,False,0.5014732762227753,0.001473276222775266,0.0
M1,slow4,58,0.13520584440503491,0.13509929921637848,0.04303184351770217,0.12475327171581642,False,0.5378845603294502,0.0378845603294502,0.008867799218287287
