source,band,n_fdr_sig,max_absg,mean_absg,max_auc_dev,mean_auc_dev,mean_mi,min_q
M1,classical,21,0.30194702946572965,0.11833148006656147,0.07879715474905846,0.030456468492540637,0.0071552314216074475,0.0023120594565701927
M1,slow4,22,0.27051487473020414,0.12521601051966913,0.07215089519698736,0.032019154303723436,0.008325900055953578,0.004845721494096933
M1,slow5,6,0.3283788290084318,0.0917922552153246,0.08108304521130172,0.02486643616904138,0.008114826813752155,0.0013374178898889705
M2,classical,53,0.34819263417556806,0.18198202337091685,0.08236472945891782,0.04473738686163536,0.010832980349800072,0.0007928437346946782
M2,slow4,54,0.3413068515802662,0.17866669674084892,0.08129886145918208,0.04468786168184966,0.009546328739348457,0.001269117457524419
M2,slow5,41,0.3552079858072975,0.18143138123098457,0.08344381069831974,0.041880880197513466,0.009721262878459397,0.0004857384259981354
OLD,classical,31,0.2763506311305402,0.12977063882543496,0.07910546367460192,0.033568822626938874,0.0070537113510206985,0.0021492981410285656
OLD,slow4,30,0.2721215098529122,0.13594999418575304,0.0803034640709992,0.03527103046141123,0.00812471402942923,0.0015702328357117866
OLD,slow5,12,0.25147311151014423,0.099195487259548,0.07152987293267854,0.02791727533210499,0.0076811309346462775,0.005227764451423716
