pair,band,pearson,spearman
M1_vs_M2,slow5,0.7576491318047579,0.7342290186421199
M1_vs_M2,slow4,0.7131535379758537,0.6676644408813419
M1_vs_M2,classical,0.730499122155454,0.6884925218590219
M1_vs_OLD,slow5,0.8012919659317962,0.7881667383369355
M1_vs_OLD,slow4,0.811345946945324,0.7928194909157936
M1_vs_OLD,classical,0.8066630847043038,0.78904989662229
M2_vs_OLD,slow5,0.6252335013847922,0.6053045835487856
M2_vs_OLD,slow4,0.5914347589990265,0.5495150765574977
M2_vs_OLD,classical,0.6007229547054215,0.5609208961432004
