source,band,norm,clf,pooled_auc,pooled_bacc,pooled_acc,pooled_sens,pooled_spec,pooled_f1,pooled_prec,pooled_tn,pooled_fp,pooled_fn,pooled_tp,auc_mean,auc_sd,bacc_mean,bacc_sd,acc_mean,sens_mean,spec_mean,f1_mean,prec_mean,per_fold_auc,best_C,secs,grouped_pooled_auc,grouped_auc_mean,grouped_auc_sd,grouped_bacc,loso_pooled_auc,loso_auc_mean,loso_auc_sd,loso_bacc,loso_per_site_auc,drop_grouped,drop_loso
M2,slow5,D_SUBJ_BAND_Z,linsvm,0.6344645334625295,0.6055825937589464,0.6111111111111112,0.4857142857142857,0.7254509018036072,0.5436654366543665,0.61731843575419,362,137,234,221,0.6363949383949384,0.0315583958442126,0.6055541125541126,0.0207156860964907,0.6110774317993938,0.4857142857142857,0.7253939393939394,0.5435490780488018,0.6190013420523607,"[0.622967, 0.686374, 0.645495, 0.623077, 0.604063]","[0.001, 0.001, 0.001, 0.01, 0.001]",0.5,0.6139619899138937,0.6237941399873022,0.0353885667132261,0.5730670131471735,0.6164196524917968,0.636822787071801,0.0863411067906034,0.5755885397167962,"{""CALTECH"": 0.5938, ""CMU"": 0.7374, ""KKI"": 0.7876, ""LEUVEN_1"": 0.5663, ""LEUVEN_2"": 0.6667, ""MAX_MUN"": 0.6271, ""NYU"": 0.6547, ""OLIN"": 0.5296, ""PITT"": 0.7666, ""SBL"": 0.6286, ""SDSU"": 0.65, ""STANFORD"": 0.7711, ""TRINITY"": 0.5873, ""UCLA_1"": 0.5909, ""UCLA_2"": 0.4462, ""UM_1"": 0.639, ""UM_2"": 0.6462, ""USM"": 0.5627, ""YALE"": 0.6481}",0.020502543548635788,0.018044880970732757
M2,classical,D_SUBJ_BAND_Z,linsvm,0.6254883393159947,0.5883877645400691,0.5943396226415094,0.4593406593406593,0.717434869739479,0.5192546583850932,0.5971428571428572,358,141,246,209,0.6259713619713619,0.025472298236111,0.5883571983571985,0.026161240578678,0.5942959492973271,0.4593406593406593,0.7173737373737374,0.5183722816355664,0.5966076510566458,"[0.61011, 0.652308, 0.634286, 0.643077, 0.590077]","[0.001, 0.001, 0.001, 0.001, 0.001]",0.5,0.5987667642978265,0.6129351914030204,0.0500699782514573,0.5709991411394217,0.6011407430245106,0.6145954678805707,0.0863861377949612,0.5619172410755577,"{""CALTECH"": 0.5625, ""CMU"": 0.6768, ""KKI"": 0.7688, ""LEUVEN_1"": 0.4286, ""LEUVEN_2"": 0.7222, ""MAX_MUN"": 0.592, ""NYU"": 0.6641, ""OLIN"": 0.5333, ""PITT"": 0.7016, ""SBL"": 0.5952, ""SDSU"": 0.5682, ""STANFORD"": 0.6816, ""TRINITY"": 0.5615, ""UCLA_1"": 0.5676, ""UCLA_2"": 0.4769, ""UM_1"": 0.6486, ""UM_2"": 0.6808, ""USM"": 0.5791, ""YALE"": 0.668}",0.026721575018168187,0.024347596291484086
OLD,slow5,D_SUBJ_BAND_Z,linsvm,0.6090466647580876,0.5722257702217622,0.5765199161425576,0.4791208791208791,0.6653306613226453,0.5190476190476191,0.5662337662337662,332,167,237,218,0.6118481518481518,0.0449660720186541,0.5722271062271063,0.0350112656130449,0.5764838798567098,0.4791208791208791,0.6653333333333332,0.5179324663067156,0.566206782660925,"[0.546703, 0.654396, 0.61033, 0.653407, 0.594406]","[0.01, 0.001, 0.01, 0.01, 0.001]",0.5,0.6134951221123566,0.6121669252760332,0.0090234660079514,0.589193772159704,0.6071615758990508,0.6102184887931923,0.1008776715462323,0.5928141998282279,"{""CALTECH"": 0.4688, ""CMU"": 0.7071, ""KKI"": 0.7556, ""LEUVEN_1"": 0.7449, ""LEUVEN_2"": 0.7148, ""MAX_MUN"": 0.592, ""NYU"": 0.6058, ""OLIN"": 0.5556, ""PITT"": 0.691, ""SBL"": 0.5238, ""SDSU"": 0.5182, ""STANFORD"": 0.7684, ""TRINITY"": 0.5238, ""UCLA_1"": 0.5862, ""UCLA_2"": 0.4538, ""UM_1"": 0.6461, ""UM_2"": 0.4769, ""USM"": 0.6436, ""YALE"": 0.6177}",-0.00444845735426902,0.0018850888590367099
OLD,classical,D_SUBJ_BAND_Z,linsvm,0.6110594816005637,0.58537955030941,0.5880503144654088,0.5274725274725275,0.6432865731462926,0.5498281786941581,0.5741626794258373,321,178,215,240,0.6139857919857921,0.0341909259105465,0.5854231324231325,0.0211338171895787,0.5880683383852301,0.5274725274725275,0.6433737373737374,0.5499104285463051,0.5757870993742176,"[0.564176, 0.66, 0.618901, 0.618571, 0.608281]","[10, 0.01, 0.01, 1000, 0.01]",0.5,0.6093725913365192,0.6023260601534772,0.0229348328222157,0.5871259001519522,0.6062498623620869,0.6021482162160969,0.0949693940160264,0.5827302957563478,"{""CALTECH"": 0.5469, ""CMU"": 0.6869, ""KKI"": 0.6598, ""LEUVEN_1"": 0.602, ""LEUVEN_2"": 0.7185, ""MAX_MUN"": 0.5953, ""NYU"": 0.5737, ""OLIN"": 0.5889, ""PITT"": 0.6233, ""SBL"": 0.4571, ""SDSU"": 0.5227, ""STANFORD"": 0.7816, ""TRINITY"": 0.4206, ""UCLA_1"": 0.6207, ""UCLA_2"": 0.4462, ""UM_1"": 0.6704, ""UM_2"": 0.5731, ""USM"": 0.6718, ""YALE"": 0.6812}",0.0016868902640444494,0.004809619238476781
M1,slow5,D_SUBJ_BAND_Z,logreg,0.6545486577550707,0.6029311369992734,0.6069182389937107,0.5164835164835165,0.6893787575150301,0.5562130177514792,0.6025641025641025,344,155,220,235,0.6566395826395827,0.0315131706431721,0.602918525918526,0.0346795841451266,0.6069054836042986,0.5164835164835165,0.6893535353535354,0.5562267519061623,0.6075227951872689,"[0.611099, 0.682967, 0.665934, 0.684725, 0.638473]","[0.01, 0.01, 0.01, 0.01, 0.01]",1.7,0.6211015437468344,0.6405199060011899,0.0438388751404425,0.5829571230372834,0.6270254795304895,0.6523573255984932,0.1036784611983227,0.5932348212909335,"{""CALTECH"": 0.5417, ""CMU"": 0.8485, ""KKI"": 0.7914, ""LEUVEN_1"": 0.7551, ""LEUVEN_2"": 0.7185, ""MAX_MUN"": 0.5619, ""NYU"": 0.6325, ""OLIN"": 0.637, ""PITT"": 0.6578, ""SBL"": 0.6429, ""SDSU"": 0.7182, ""STANFORD"": 0.7605, ""TRINITY"": 0.5675, ""UCLA_1"": 0.5676, ""UCLA_2"": 0.5538, ""UM_1"": 0.7216, ""UM_2"": 0.4308, ""USM"": 0.5918, ""YALE"": 0.6958}",0.0334471140082363,0.02752317822458117
M1,classical,D_SUBJ_BAND_Z,logreg,0.6526415468299236,0.6260410931753617,0.629979035639413,0.5406593406593406,0.7114228456913828,0.5822485207100592,0.6307692307692307,355,144,209,246,0.6521860361860361,0.0143333443315628,0.626046842046842,0.005256727483772,0.6299807109396527,0.5406593406593407,0.7114343434343434,0.5811790354800156,0.6334724828166419,"[0.646044, 0.66978, 0.655604, 0.658022, 0.63148]","[0.01, 0.01, 0.01, 0.01, 0.01]",0.5,0.6362835561232355,0.6430778046265335,0.0496930046977872,0.6001519522561607,0.6354423131978243,0.6447047003130756,0.0898974770638663,0.6027373428175031,"{""CALTECH"": 0.4896, ""CMU"": 0.7778, ""KKI"": 0.7406, ""LEUVEN_1"": 0.5816, ""LEUVEN_2"": 0.7556, ""MAX_MUN"": 0.5485, ""NYU"": 0.6537, ""OLIN"": 0.6296, ""PITT"": 0.6857, ""SBL"": 0.6048, ""SDSU"": 0.7136, ""STANFORD"": 0.7026, ""TRINITY"": 0.504, ""UCLA_1"": 0.5993, ""UCLA_2"": 0.5538, ""UM_1"": 0.7199, ""UM_2"": 0.5538, ""USM"": 0.6809, ""YALE"": 0.754}",0.016357990706688086,0.017199233632099298
M2,slow5,D_SUBJ_BAND_Z,logreg,0.6342134819088727,0.6099451650553855,0.6142557651991615,0.5164835164835165,0.7034068136272545,0.5608591885441527,0.6135770234986945,351,148,220,235,0.6376674436674437,0.033953365553184,0.6099387279387279,0.021701004966487,0.6142463488564343,0.5164835164835164,0.7033939393939395,0.5609861840989192,0.6158347360939662,"[0.623736, 0.69, 0.651099, 0.620549, 0.602953]","[0.01, 0.01, 0.01, 0.1, 0.01]",0.5,0.6129886145918211,0.6245548944012255,0.037091923375129,0.572743288775353,0.6153273580127288,0.6399826443177022,0.0839064962293608,0.5792728313770398,"{""CALTECH"": 0.599, ""CMU"": 0.7374, ""KKI"": 0.8064, ""LEUVEN_1"": 0.5357, ""LEUVEN_2"": 0.6333, ""MAX_MUN"": 0.5987, ""NYU"": 0.6504, ""OLIN"": 0.5407, ""PITT"": 0.7573, ""SBL"": 0.6381, ""SDSU"": 0.6364, ""STANFORD"": 0.7658, ""TRINITY"": 0.6091, ""UCLA_1"": 0.589, ""UCLA_2"": 0.4692, ""UM_1"": 0.6423, ""UM_2"": 0.6808, ""USM"": 0.61, ""YALE"": 0.6601}",0.021224867317051643,0.01888612389614397
M2,classical,D_SUBJ_BAND_Z,logreg,0.6199740139619899,0.5853487194168557,0.590146750524109,0.4813186813186813,0.6893787575150301,0.5283474065138721,0.5855614973262032,344,155,236,219,0.6216141636141636,0.0244059657334042,0.5853361083361083,0.0315285716453988,0.5900964453017361,0.4813186813186813,0.6893535353535354,0.5273768380149572,0.585511986952477,"[0.615495, 0.653077, 0.634396, 0.617802, 0.587302]","[0.01, 0.01, 0.01, 0.1, 0.01]",0.5,0.5963179105463674,0.6118412549113599,0.0508562563296862,0.5735845317007642,0.5969829769428968,0.6201037015041853,0.0856406992925956,0.5614966196128521,"{""CALTECH"": 0.5781, ""CMU"": 0.7071, ""KKI"": 0.7914, ""LEUVEN_1"": 0.4439, ""LEUVEN_2"": 0.6963, ""MAX_MUN"": 0.5535, ""NYU"": 0.6628, ""OLIN"": 0.5407, ""PITT"": 0.6936, ""SBL"": 0.6, ""SDSU"": 0.5773, ""STANFORD"": 0.6842, ""TRINITY"": 0.5734, ""UCLA_1"": 0.5722, ""UCLA_2"": 0.4923, ""UM_1"": 0.6444, ""UM_2"": 0.7077, ""USM"": 0.5936, ""YALE"": 0.6693}",0.02365610341562252,0.022991037019093108
OLD,slow5,D_SUBJ_BAND_Z,logreg,0.6114955185095466,0.5908101918121957,0.5943396226415094,0.5142857142857142,0.6673346693386774,0.5473684210526316,0.585,333,166,221,234,0.6176465756465757,0.0450169361608097,0.5908297258297258,0.0221705193466352,0.5943235050978232,0.5142857142857142,0.6673737373737374,0.5468656798533102,0.5857908426965639,"[0.551319, 0.669121, 0.617363, 0.646923, 0.603508]","[0.1, 0.01, 0.1, 0.1, 0.01]",0.6,0.6129445704596006,0.6204098467424248,0.0099846822670314,0.589096875068819,0.6095663855182892,0.6233805464526825,0.0976577862771542,0.5959171089431611,"{""CALTECH"": 0.5156, ""CMU"": 0.7576, ""KKI"": 0.7726, ""LEUVEN_1"": 0.7449, ""LEUVEN_2"": 0.7074, ""MAX_MUN"": 0.5652, ""NYU"": 0.6242, ""OLIN"": 0.5741, ""PITT"": 0.679, ""SBL"": 0.519, ""SDSU"": 0.5682, ""STANFORD"": 0.7947, ""TRINITY"": 0.5238, ""UCLA_1"": 0.6039, ""UCLA_2"": 0.4846, ""UM_1"": 0.6629, ""UM_2"": 0.5077, ""USM"": 0.5945, ""YALE"": 0.6442}",-0.001449051950053959,0.0019291329912574096
OLD,classical,D_SUBJ_BAND_Z,logreg,0.6169657997313307,0.5928780638199476,0.5953878406708596,0.5384615384615384,0.6472945891783567,0.5593607305936074,0.5819477434679335,323,176,210,245,0.6207579087579087,0.0393573163024464,0.592927738927739,0.0251777926451601,0.595420225957564,0.5384615384615385,0.6473939393939394,0.5594816461140442,0.5833498864357546,"[0.559341, 0.667802, 0.620659, 0.635275, 0.620713]","[10, 0.1, 0.1, 0.1, 0.1]",0.6,0.60634235503975,0.6016350790870201,0.0173289342788049,0.5791098680878239,0.609724944394283,0.6103655621588177,0.0953801894390623,0.5844105794005594,"{""CALTECH"": 0.5833, ""CMU"": 0.697, ""KKI"": 0.6786, ""LEUVEN_1"": 0.6122, ""LEUVEN_2"": 0.6963, ""MAX_MUN"": 0.5401, ""NYU"": 0.5846, ""OLIN"": 0.5926, ""PITT"": 0.6485, ""SBL"": 0.4905, ""SDSU"": 0.5273, ""STANFORD"": 0.8079, ""TRINITY"": 0.4325, ""UCLA_1"": 0.6226, ""UCLA_2"": 0.4385, ""UM_1"": 0.6642, ""UM_2"": 0.6115, ""USM"": 0.6664, ""YALE"": 0.7024}",0.010623444691580719,0.007240855337047658
