source,best_band,best_norm,best_clf,best_nested_auc,auc_sd,bacc,sens,spec,f1,prec,perm_p,perm_mean_auc,site_bacc_mean,site_bacc_max,r2_TR,r2_T,r2_age,r2_fd,grouped_auc,loso_auc_sameCond,best_loso_auc,best_loso_cond,mean_drop_loso,fold_auc_sd
M1,all3,D_SUBJ_BAND_Z,linsvm,0.6546543636723997,0.0275375453573313,0.6162143412143413,0.5450549450549451,0.6873737373737374,0.576840701487923,0.6170482440360878,0.000999000999000999,0.4994926600453654,0.5563249514821981,0.6457702914027414,0.38338593282038047,0.4333097835458206,0.29210274923246965,0.3249070397103183,0.6273293840428109,0.630438899777577,0.63977625580832,classical/A_RAW/linsvm,0.018464291219802195,0.0275375453573313
M2,slow5,F_TRAINFOLD_BAND_Z,linsvm,0.6454931841705389,0.0277590950487703,0.6001585081585082,0.476923076923077,0.7233939393939395,0.5356934563150733,0.6118691581226792,0.000999000999000999,0.4978123852099804,0.7206884119945208,0.7630455542435178,0.47601733688755343,0.5342662248854418,0.3944183664554614,0.42233822618721123,0.6147768063599728,0.6164636966240172,0.6235768239776256,slow5/A_RAW/linsvm,0.026620934176044376,0.0277590950487703
OLD,all3,F_TRAINFOLD_BAND_Z,logreg,0.6363672399744544,0.037343659985987,0.6023655233655234,0.5032967032967033,0.7014343434343433,0.5485281098597595,0.6071216860963811,0.000999000999000999,0.4976037657733049,0.6298132641156095,0.7092198067879047,0.38281568220664086,0.4519757428752157,0.3098553401801896,0.36625549075104136,0.6154462771697241,0.6151643947235129,0.6225550001101103,all3/A_RAW/linsvm,0.010749521020062044,0.037343659985987
