source,band,boot_profile_r_mean,boot_profile_r_p2p5,boot_profile_r_p97p5
M1,slow5,0.9987907261232183,0.9978844401900867,0.9993345565324759
M1,slow4,0.9991304141367132,0.9983469839832557,0.9995612103226539
M1,classical,0.9991869907532283,0.9984867477629373,0.9995724577458965
M2,slow5,0.9986051739041689,0.9968617566478027,0.9993976751735232
M2,slow4,0.9986980458853254,0.997005172472036,0.9994929573034249
M2,classical,0.9986386863192158,0.9967977132390442,0.9994537077143649
OLD,slow5,0.9994841131552886,0.9991220709785295,0.9997092165322824
OLD,slow4,0.9995960109200418,0.9991691501187978,0.9997992557208901
OLD,classical,0.9996277087373595,0.9992966526807957,0.9998273527040383
