source,band,norm,clf,pooled_auc,pooled_bacc,pooled_acc,pooled_sens,pooled_spec,pooled_f1,pooled_prec,pooled_tn,pooled_fp,pooled_fn,pooled_tp,auc_mean,auc_sd,bacc_mean,bacc_sd,acc_mean,sens_mean,spec_mean,f1_mean,prec_mean,per_fold_auc,best_C,secs
OLD,slow5,A_RAW,logreg,0.6292585170340681,0.6003457464379308,0.6048218029350105,0.5032967032967033,0.6973947895791583,0.548502994011976,0.6026315789473684,348,151,226,229,0.6305547785547787,0.0475819672526265,0.6003756243756244,0.0333232213763484,0.6047781758060072,0.5032967032967034,0.6974545454545454,0.5462004816827348,0.602805880229654,"[0.575714, 0.665055, 0.625055, 0.690879, 0.596071]","[0.01, 0.001, 0.01, 0.01, 0.001]",1.0
OLD,classical,A_RAW,logreg,0.6219559999119117,0.6091039221299742,0.6121593291404612,0.5428571428571428,0.6753507014028056,0.5717592592592593,0.6039119804400978,337,162,208,247,0.6248202908202909,0.0417503900533303,0.6091255411255412,0.0263108916563659,0.6121576191788372,0.5428571428571429,0.6753939393939394,0.5716445884152292,0.6073565701438042,"[0.568022, 0.668242, 0.634615, 0.656264, 0.596959]","[1, 0.01, 0.01, 0.01, 0.01]",1.0
M1,slow5,B_SUBJ_JOINT_MINMAX,linsvm,0.6290867449184082,0.590552533638706,0.5953878406708596,0.4857142857142857,0.6953907815631263,0.533816425120773,0.5924932975871313,347,152,234,221,0.640008658008658,0.0294205580874433,0.5905238095238096,0.031992239181035,0.5953981813171672,0.4857142857142856,0.6953333333333334,0.532614867849991,0.5994904495816298,"[0.599341, 0.659011, 0.634505, 0.676484, 0.630703]","[0.1, 0.01, 0.01, 0.01, 0.1]",1.5
M1,classical,B_SUBJ_JOINT_MINMAX,linsvm,0.6483340306987602,0.6219031469532472,0.6247379454926625,0.5604395604395604,0.6833667334669339,0.5875576036866359,0.6174334140435835,341,158,200,255,0.6488225108225107,0.0140608000833814,0.6218965478965479,0.0193198852471857,0.6247395976853127,0.5604395604395604,0.6833535353535354,0.5873572990827326,0.6202472546068133,"[0.636813, 0.671209, 0.653846, 0.64022, 0.642025]","[0.1, 0.1, 0.1, 0.1, 0.1]",0.4
M2,slow5,B_SUBJ_JOINT_MINMAX,linsvm,0.6318218855293004,0.6131119381620384,0.6163522012578616,0.5428571428571428,0.6833667334669339,0.5744186046511628,0.6098765432098765,341,158,208,247,0.6335153735153736,0.0320888235502972,0.6130750360750362,0.0364182541495592,0.6163075227335353,0.5428571428571429,0.6832929292929293,0.574595025694399,0.6131461271390918,"[0.629011, 0.675495, 0.653516, 0.616703, 0.592852]","[0.1, 0.1, 0.1, 0.1, 0.1]",0.4
M2,classical,B_SUBJ_JOINT_MINMAX,linsvm,0.6113898125922174,0.5869651390693476,0.5922431865828093,0.4725274725274725,0.7014028056112225,0.525030525030525,0.5906593406593407,350,149,240,215,0.6142373182373182,0.0270705050504794,0.5868798978798979,0.0381417114032699,0.5921741526591348,0.4725274725274725,0.7012323232323233,0.5248154810267771,0.594173637009147,"[0.613846, 0.641319, 0.624396, 0.622418, 0.569209]","[0.1, 0.1, 0.01, 0.1, 0.1]",0.4
OLD,slow5,B_SUBJ_JOINT_MINMAX,linsvm,0.6255852364068797,0.5964984914884714,0.59958071278826,0.5296703296703297,0.6633266533066132,0.5578703703703703,0.589242053789731,331,168,214,241,0.6236290376290377,0.0376022127295478,0.5964614274614275,0.0241983293808487,0.5995480848718655,0.5296703296703297,0.6632525252525252,0.557293336208644,0.5894685790377862,"[0.565495, 0.666374, 0.615714, 0.642857, 0.627706]","[0.1, 0.1, 0.1, 0.1, 0.1]",0.4
OLD,classical,B_SUBJ_JOINT_MINMAX,linsvm,0.6117377612367592,0.5931048911008832,0.5964360587002097,0.5208791208791209,0.6653306613226453,0.5518044237485448,0.5866336633663366,332,167,218,237,0.6154214674214674,0.035155516283618,0.5931163281163281,0.0334706865619362,0.5964563240562138,0.5208791208791208,0.6653535353535354,0.5521643648154039,0.5912847578943248,"[0.572747, 0.662857, 0.592308, 0.615385, 0.633811]","[100, 0.1, 0.1, 100, 1]",0.4
M1,slow5,B_SUBJ_JOINT_MINMAX,logreg,0.6309410028848907,0.5956264176705058,0.59958071278826,0.5098901098901099,0.6813627254509018,0.5484633569739953,0.5933503836317136,340,159,223,232,0.6396312576312576,0.0291610451426175,0.5956016206016206,0.0334773163796193,0.5995921741526591,0.5098901098901099,0.6813131313131313,0.5475291421513645,0.5995112249210651,"[0.597143, 0.668571, 0.638681, 0.664945, 0.628816]","[1, 1, 0.1, 0.1, 1]",1.6
M1,classical,B_SUBJ_JOINT_MINMAX,logreg,0.6478407364178908,0.6210949371270013,0.6236897274633124,0.5648351648351648,0.6773547094188377,0.588774341351661,0.6148325358851675,338,161,198,257,0.6478326118326119,0.0164997179311584,0.621074148074148,0.0146591666513077,0.6236814549462661,0.5648351648351648,0.6773131313131314,0.5885914058480342,0.6168503650117436,"[0.634176, 0.673516, 0.654615, 0.635275, 0.641581]","[1, 1, 1, 1, 1]",0.5
M2,slow5,B_SUBJ_JOINT_MINMAX,logreg,0.6304741350833535,0.6083926093946135,0.6111111111111112,0.5494505494505495,0.6673346693386774,0.574052812858783,0.6009615384615384,333,166,205,250,0.6321904761904762,0.0332373270237987,0.6083616383616384,0.0297781936846568,0.6110884541195922,0.5494505494505495,0.6672727272727272,0.5742781792442593,0.6047931851785806,"[0.627692, 0.674396, 0.654615, 0.614505, 0.589744]","[1, 1, 1, 1, 1]",0.4
M2,classical,B_SUBJ_JOINT_MINMAX,logreg,0.609720539981061,0.5873527274328878,0.5922431865828093,0.4813186813186813,0.6933867735470942,0.5296251511487303,0.5887096774193549,346,153,236,219,0.6126031746031746,0.0283982814836442,0.5872654012654012,0.0374670416613673,0.5921741526591348,0.4813186813186813,0.6932121212121213,0.5294688162621812,0.5918773546854574,"[0.610549, 0.638681, 0.628462, 0.62, 0.565324]","[1, 1, 0.1, 1, 1]",0.5
