cond,n_perm,observed_auc,perm_auc_mean,perm_auc_sd,perm_auc_p2p5,perm_auc_p97p5,perm_auc_max,perm_p,perm_bacc_mean,featperm_auc_mean,featperm_auc_sd,featperm_auc_max
M1|all3|D_SUBJ_BAND_Z|linsvm,1000,0.6546543636723997,0.4994926600453654,0.025191863439196303,0.45034629698958356,0.5481373736483957,0.5867162897223018,0.000999000999000999,0.4996262326851505,0.5007302252857363,0.025112713362833723,0.5782994560549671
M2|slow5|F_TRAINFOLD_BAND_Z|linsvm,1000,0.6454931841705389,0.4978123852099804,0.02548188169732926,0.4442596181373737,0.5432043207293709,0.5744499988988967,0.000999000999000999,0.49834579929088946,0.4999239798277874,0.026163047396877432,0.5803651258561078
OLD|all3|F_TRAINFOLD_BAND_Z|logreg,1000,0.6363672399744544,0.4976037657733049,0.023699007054652412,0.4525687639014292,0.5447918914752581,0.5642493778766324,0.000999000999000999,0.49741660904226037,0.5003570525666717,0.024625032391544677,0.5787971547490586
M1|slow4|B_SUBJ_JOINT_MINMAX|linsvm,1000,0.6039243321808452,0.49403035081151314,0.025537027497188565,0.44590312493118095,0.5431538901979783,0.5772688233610077,0.000999000999000999,0.4982327798454051,0.4997105948160056,0.024078791538374632,0.577475830782444
M2|slow4|B_SUBJ_JOINT_MINMAX|logreg,1000,0.5940496377370126,0.49291999823823474,0.025193296374279788,0.44482129093351536,0.5429861921645489,0.5772644189477857,0.000999000999000999,0.4981087757933449,0.5004992622607853,0.024255222803424265,0.5759959479398358
OLD|slow4|B_SUBJ_JOINT_MINMAX|logreg,1000,0.5806910524345393,0.49103684732101566,0.025259164251368857,0.4457529344403091,0.5422743288775353,0.5736131603867075,0.000999000999000999,0.49831431214076505,0.5001084630800062,0.02378646379128715,0.5706754167676011
