subject,branch,resid_norm,expl_norm,total_self_norm,offdiag_norm,q_norm,ratio_off_over_self,ratio_self_over_q,ub_mean,cancellation,X_across_node_var,X_mean_cos,X_eff_rank,X_frac_var_sv1,X_mean_pair_dist,X_mean_norm,Q_across_node_var,Q_mean_cos,Q_eff_rank,Q_frac_var_sv1,Q_mean_pair_dist,Q_mean_norm,W1_across_node_var,W1_mean_cos,W1_eff_rank,W1_frac_var_sv1,W1_mean_pair_dist,W1_mean_norm
CMU_a_0050642,B,0.35561781347920296,0.35561781347920296,0.7112356269584059,14.683403521286557,15.388966145047197,25.05816545054324,0.047506520739117104,14.825987442438729,0.010773217696054641,0.010082548632692322,0.9767436351224177,1.7842305336035664,0.9386380164531403,0.18956056368515098,0.35561781347920296,3.168755915236989,0.9999010345834661,1.1850652463591642,0.9988799271906363,3.468640575299376,15.388966145047197,0.12501299646336259,0.998901147010806,1.226985960052466,0.9981048323262357,2.2523128173596674,9.617463017446406
CMU_a_0050642,C,0.5018004403957248,0.5018004403957248,1.0036008807914496,20.492829549824624,21.48743139276802,260824435925.24744,0.0482835224122924,20.72245611286407,0.012294598961855236,0.026148406635997726,0.9544853172345968,1.8187794368453634,0.9357828796274543,0.31389843744244533,0.5018004403957248,6.0072563431704715,0.9998748153503898,1.2072857855236685,0.9985495578397975,4.781130501054478,21.48743139276802,0.20889799743260154,0.9995728894633559,1.2661923226690728,0.9977419253567178,2.9148639425583402,12.625501176459936
CMU_a_0050642,D,1.377286443492389,1.377286443492389,2.754572886984778,2.9985025887677503,4.171598025736792,1.8377832740561018,0.7873488508259319,57.770182467262515,0.9472599361131135,0.9999999999999996,0.01210438641053669,1.8256039149465761,0.933716865947705,1.9328902833784471,1.377286443492389,6.225312058486451,0.2367947662508029,1.9722924928834409,0.891524847895789,5.201565486313811,4.171598025736792,0.2600662779267159,0.5664365228961402,6.914351504630512,0.6462180912220563,3.5209641870569457,3.4292092279707593
CMU_a_0050646,B,0.5359356070277674,0.5359356070277674,1.0718712140555349,16.627772576971285,17.68795885129213,26.29337516675108,0.06335434138410587,17.00270249574777,0.02672341108281478,0.025560195139061576,0.9503854922283451,1.83225411521615,0.9186248420913303,0.32662980718087675,0.5359356070277674,4.884113358627981,0.9996602186741704,1.3102691492874856,0.9953433371228138,4.352303828199935,17.68795885129213,0.1773414150641244,0.9986367594039347,1.4292987946358906,0.9922634525107263,2.7172566275746655,10.574317030097552
CMU_a_0050646,C,0.6236512405353885,0.6236512405353885,1.247302481070777,19.314103765143162,20.54763764999995,26.171368677966626,0.06353496040821223,19.753173541859038,0.02686399849949272,0.03555132296558398,0.9463153263457343,1.8262727233468166,0.9239568103403026,0.3838038371849861,0.6236512405353885,6.528329089902688,0.9996639172086722,1.317167895687558,0.9952799565997524,5.033813831024733,20.54763764999995,0.23212289158148278,0.9988741091031531,1.4833420397821568,0.9904232031915003,3.1146730707486707,12.211176736907722
CMU_a_0050646,D,1.424018475048947,1.424018475048947,2.848036950097894,3.1275476391684194,4.552599013755559,1.8651032843563942,0.8746831866015863,45.46113996733401,0.9223634883640194,1.0000000000000002,-0.00705208443957208,1.823447490561778,0.9254210370296687,2.0343087689575974,1.424018475048947,9.064925332428375,0.0038522868162996038,1.8691221672752063,0.8964725839475087,6.336495809175219,4.552599013755559,0.4067001045755994,0.4206325378010849,6.630991303480305,0.6901320415226789,4.461520641634859,3.8063260064419815
CMU_a_0050647,B,0.5407701280985705,0.5407701280985704,1.0815402561971408,15.568926207015759,16.640328950315833,16.819200420960467,0.06744580823748786,15.941231894475363,0.02863812077839018,0.020153781672986034,0.9661290827939432,1.9207159463682206,0.882867706654052,0.28807225683444077,0.5407701280985705,5.6130448558117,0.9982917435399382,1.4632183978822633,0.9825171642994804,4.79984156712708,16.640328950315833,0.20852697523050837,0.9960091866190772,1.8815083819470835,0.9706898230690013,3.0453621955866974,9.973342580091815
CMU_a_0050647,C,0.7081398852768536,0.7081398852768536,1.4162797705537071,20.283696053167684,21.685910801687402,18.69217730567616,0.06789400548582823,20.796046761341774,0.02994157384259372,0.040229456926526845,0.9572260563814236,1.9408301402767303,0.8846078994091527,0.4080068284333787,0.7081398852768536,9.637442492075225,0.9980279143537587,1.5122634646053335,0.9792147223381391,6.315615059826625,21.685910801687402,0.336447730532879,0.9959451936953,1.8486961248226994,0.9649802608948453,3.8880271740494647,12.663454192305041
CMU_a_0050647,D,1.4249442146237654,1.4249442146237654,2.849888429247531,7.497179072961725,9.21882681555494,4.349424822614292,0.4038862705589473,41.392658009513866,0.8180170823347668,0.9999999999999996,0.021063801270415086,1.9384077591012876,0.8864899814934395,2.0331368442500914,1.4249442146237654,43.57237780282119,0.01769494593862949,1.84665004278807,0.8876598634914987,13.048167350803208,9.21882681555494,1.50532229943257,0.39467313710546365,5.6944241370339945,0.6101557453832419,8.731865574864361,7.565982550302466
CMU_a_0050649,B,0.4793610463853667,0.4793610463853667,0.9587220927707334,13.704243731936696,14.651547239916765,20.02916292173078,0.06894475872118774,14.290786466261437,0.053484937926847644,0.029896784652714763,0.9625238384613827,1.7372073278184061,0.9431186394626049,0.33975440235622495,0.4793610463853667,4.406613316303311,0.9996108444265965,1.3341406843699395,0.9941721697340574,4.031891427159627,14.651547239916765,0.16609268752438047,0.9945759479178893,1.581877967801355,0.9895773878576587,2.572936538210326,8.951808967553228
CMU_a_0050649,C,0.5643264643717119,0.5643264643717119,1.1286529287434237,15.90659643475929,17.014738615381326,27.011263966695026,0.06949922007902706,16.705063043490743,0.06069751088306627,0.05308357892183657,0.9278350734157709,1.7512400480939327,0.9426476648831676,0.45120343280520586,0.5643264643717119,6.141721534331244,0.999355786069143,1.3457942072497409,0.9951612295175691,4.746422353460768,17.014738615381326,0.2155043848005435,0.9967212571878793,1.5978603250153354,0.9903514082869186,2.918611361059762,9.985788204171751
CMU_a_0050649,D,1.4108803388087148,1.4108803388087148,2.8217606776174295,6.59974965346693,8.257875675757962,3.5365149020815156,0.6206504009354942,41.8340372286645,0.8335925433373488,0.9999999999999997,0.025762521271514224,1.7462017018063305,0.944593718849695,1.9552659460314268,1.4108803388087148,33.59878258940605,0.20410576468177918,1.4916406529785622,0.9824102377121909,10.665347059101599,8.257875675757962,1.2315681222061898,0.5484072277901001,4.383474946851735,0.6937644810798614,7.5405829248794545,7.316699316833259
CMU_a_0050654,B,0.4461424054803491,0.4461424054803491,0.8922848109606982,17.271671880313963,18.15905642426882,29.141721057481394,0.05112849093117419,17.417041585787864,0.009702960569309698,0.020488622325124717,0.9809755772198946,1.6995030418230974,0.9634413946439209,0.2791593542625829,0.4461424054803491,3.255454224024568,0.9998649541664151,1.265211808811719,0.9971835445587941,3.390466089269968,18.15905642426882,0.120558940285782,0.9993042785481645,1.4318278742569797,0.995030528715538,2.1356323770944456,10.947704159119102
CMU_a_0050654,C,0.6217324034253023,0.6217324034253022,1.2434648068506045,23.9979797899996,25.233319881283247,36.88119813943512,0.051332443869949215,24.2327615992028,0.0110212113054394,0.04383813811037557,0.9592645724498536,1.7163291634471876,0.9649278186654929,0.411486391654369,0.6217324034253023,6.196566187996989,0.9998285309774491,1.3015680119490427,0.9960971729828786,4.698949499015668,25.233319881283247,0.21500161120031627,0.999526254497107,1.3767466750023223,0.9931807156873496,2.8676470336167057,14.854573724932582
CMU_a_0050654,D,1.3615473034149934,1.3615473034149934,2.723094606829987,4.628793014748358,6.196067994922866,3.1937744393028784,0.7542368636502388,53.19750861406309,0.9076153507502277,1.0,0.012502197943388468,1.7232044759406397,0.9631926769813985,1.9649022286757374,1.3615473034149934,15.328407037134113,0.07828762737923606,1.6053666465116796,0.9787031598335945,7.903883494086163,6.196067994922866,0.7770931725172123,0.5106326906895982,4.677923567259766,0.8456175295615308,6.11410787877284,5.871039561370272
CMU_a_0050656,B,0.4832884583167454,0.4832884583167454,0.9665769166334908,16.544072318873248,17.486546010899993,23.074928715193387,0.08476703627607528,17.4855593030207,0.08006487591284593,0.021212009833790697,0.9825445967452768,1.791554864166471,0.9301656271478305,0.2930505889534683,0.4832884583167454,9.740112280460709,0.9662358694823375,1.321488973770953,0.9936302924152314,5.749900031859228,17.486546010899993,0.3657342951665903,0.9469422343304338,1.927797806007802,0.9870296048996353,3.680529198415989,10.675881330000221
CMU_a_0050656,C,0.5944407699466313,0.5944407699466313,1.1888815398932626,20.2169395090344,21.376713675361575,84.21666903772892,0.08301850112158249,21.443132992682163,0.08260596267505092,0.039967335036329654,0.9685412461104934,1.8029921445754837,0.9323684386586201,0.4007610177697163,0.5944407699466313,14.545663880053796,0.9717557769056956,1.3675612914143183,0.990775359259101,7.100107544423599,21.376713675361575,0.48439185754718683,0.9547798509622218,2.058909625692237,0.9802792275148189,4.289649262488839,12.325369022434638
CMU_a_0050656,D,1.4046090360084713,1.4046090360084713,2.8092180720169426,9.05251920383278,10.96813164865174,6.2660451855130885,0.3016343688727282,50.588410838671614,0.8045801091556651,0.9999999999999996,0.00932168378661112,1.8037730507102525,0.9322598652447388,2.0032014207695887,1.4046090360084713,47.5760226253214,0.021861941661394255,1.7439270821995374,0.9275612616741169,14.520367672013782,10.96813164865174,1.9911497338886286,0.41238868248752286,5.437032520112798,0.7465775014752756,10.022363985851205,8.89448270064006
CMU_a_0050659,B,0.5060252708115592,0.5060252708115592,1.0120505416231185,19.434150408932915,20.43636680585159,29.81810134710597,0.05085761112231725,19.684790561704226,0.013499412988491515,0.021143217624478027,0.9706798579741436,1.8784501844908132,0.925439986158097,0.2894274503532654,0.5060252708115592,3.4073007981721495,0.9998797773124694,1.3184974792166086,0.9956445550123606,3.688472044358038,20.43636680585159,0.12534004376565047,0.9995918171502678,1.438291941697656,0.9926675941898955,2.3172558120542814,12.371972797820838
CMU_a_0050659,C,0.5750072022480412,0.5750072022480412,1.1500144044960825,22.00512919317919,23.142338795510415,74.72250745614909,0.05101193513398191,22.32585869632038,0.015150953596487741,0.03082106950218676,0.9555707294869897,1.8774511102505314,0.9296972745230622,0.3482455632735078,0.5750072022480412,4.391644723283309,0.9998625716951315,1.3449831724114405,0.9950623436295231,4.190645235559931,23.142338795510415,0.15670063637883752,0.9996551322174104,1.4543793279375477,0.992935104030721,2.591140905346523,13.812582410464877
CMU_a_0050659,D,1.4032442292774896,1.4032442292774894,2.8064884585549787,5.717180991777989,7.249560827531346,3.1630985283116755,0.6914234645378329,54.952761733679495,0.8869176593992939,0.9999999999999999,0.022389405246568687,1.8753122684852288,0.9311328673862639,1.9825375225307993,1.4032442292774896,21.851788969154544,0.15598543252809863,1.634596415270806,0.9760053441108248,9.25049306708941,7.249560827531346,1.090164827354657,0.5288567773120358,4.777504322619802,0.7995007675033456,7.205938006390501,6.83192481654092
CMU_a_0050660,B,0.56602819940515,0.56602819940515,1.1320563988103,16.051391355697433,17.176675638463582,19.88626959388877,0.07173031015522813,16.97850831298778,0.06697050387339752,0.02613492257954946,0.9783529412224959,1.8245650214756208,0.9285038335607375,0.32099931158007067,0.56602819940515,5.562163659236183,0.9989887060776272,1.420063421008252,0.9889547191500834,4.666500530707065,17.176675638463582,0.20235857646258698,0.9969814063810838,1.8212320665693986,0.9813452938026841,2.924573314848528,10.319672593585409
CMU_a_0050660,C,0.6248574161731987,0.6248574161731987,1.2497148323463974,17.635095718167157,18.877010211707788,158249922488.26334,0.07205678478550506,18.686417390073554,0.0689565934985848,0.0374768692932626,0.9591397720581544,1.823294362170688,0.9320176981086346,0.3818298256067433,0.6248574161731987,6.904014387828096,0.998925157046539,1.4399053119022664,0.988404557786659,5.20658509864821,18.877010211707788,0.24247444609235114,0.9969680240995368,1.7394278619283032,0.9771302659259334,3.215158282433944,11.065859870699164
CMU_a_0050660,D,1.352512468000604,1.3525124680006035,2.705024936001207,8.580514149064857,10.470095763875658,5.663239653205715,0.3016667291561128,40.75287542955031,0.775029389227497,1.0000000000000002,0.011270680190314552,1.8172915955471987,0.9348993226260761,1.9667478758822772,1.352512468000604,41.90893102696749,0.1360978738835082,1.7194062936851098,0.9512510257950645,12.991654405376469,10.470095763875658,1.9935755490207523,0.5055167071636648,5.133650572675023,0.77643005610849,9.930336067975022,9.734693210034775
CMU_a_0050663,B,0.45320546611370405,0.453205466113704,0.9064109322274081,14.14739381016783,15.046226926509132,21.828613771299192,0.06306406513979321,14.918556222022039,0.05986392000517725,0.017492758239426854,0.9776015942075746,1.8419819554639543,0.9100465111405712,0.266676987507813,0.45320546611370405,3.5279550937507342,0.9990694298457571,1.4354969372937811,0.9850742794369898,3.777205100296604,15.046226926509132,0.14191114838825802,0.9975142624352139,1.5578608460927061,0.9763687296978463,2.489018160584342,9.457347785214466
CMU_a_0050663,C,0.5986086308802563,0.5986086308802563,1.1972172617605126,18.57215933374937,19.754141535948552,24.539032203121486,0.06338764229141064,19.67830683403625,0.06417292128555552,0.03828277552235946,0.9459615665522667,1.8847064324781593,0.9022146122320802,0.392384431929265,0.5986086308802563,6.040812182255723,0.9985769103868949,1.5562271744224347,0.9764700537757673,4.976792243001094,19.754141535948552,0.218512109995654,0.9971615360309969,1.8815529690168749,0.960113495692726,3.1229530117853836,11.758448442893435
CMU_a_0050663,D,1.3901456290330605,1.3901456290330605,2.780291258066121,3.7216721661184358,5.070270963861779,3.219214191115518,0.6473876760228445,45.14308294867829,0.9110457815280781,1.0,-0.002321313055684598,1.8868813678025351,0.9010071197437681,2.00779639224919,1.3901456290330605,10.263801493611107,0.042057072775263805,2.0235624826649694,0.766592439860994,6.896985995108193,5.070270963861779,0.5498560624956361,0.4150056969803537,6.508623590742321,0.6190343549049646,5.396738927115863,4.798974113900763
CMU_a_0050664,B,0.6359005770770401,0.6359005770770401,1.2718011541540801,21.43466432084975,22.68587946447016,22.047223132533464,0.06100175309650346,22.218024009064184,0.04660914739705191,0.02812545717929385,0.9736515345886375,1.8718711151210217,0.92193865351246,0.3357583992611742,0.6359005770770401,10.479355557921702,0.9557002882309685,1.423271120862022,0.987134299050322,6.160397359784726,22.68587946447016,0.3619171927910847,0.9757103635466862,1.9121771174251072,0.9758013635968922,3.803211712501902,13.557146065505416
CMU_a_0050664,C,0.6326045777146638,0.6326045777146638,1.2652091554293277,21.301307842792685,22.545049546301033,174046691000.21555,0.06069343208330251,22.11507155817487,0.048183000491041406,0.03174752093080881,0.9516602997107305,1.864133755613562,0.924361309187874,0.35680853807997587,0.6326045777146638,10.442834740634925,0.9556796710911711,1.4256701122395763,0.9870463029723243,6.152345094057732,22.545049546301033,0.35483760096763256,0.9750147810909249,1.9561681981516998,0.9710492422094269,3.781146713181767,13.313956463438899
CMU_a_0050664,D,1.3640933838633413,1.3640933838633413,2.7281867677266827,5.6622641133803695,7.045385117105994,3.631745523969465,0.5393491211712075,45.60576311347333,0.8658806129857829,1.0,-0.002089679374997324,1.8700045235024143,0.9275141739563441,1.9857721436580824,1.3640933838633413,21.811970012355147,0.012796708656620406,1.8762791291642387,0.8998807014354311,9.80971666505206,7.045385117105994,0.8651093050491996,0.41614252276491026,6.270429625895515,0.6425158781031707,6.628907353957094,5.637552012661224
CMU_a_0050665,B,0.46349422706171384,0.4634942270617137,0.9269884541234275,20.159461322654206,21.075087866431446,30.907577025090823,0.05268420194749805,20.543786693592732,0.0325052060587417,0.02553148382587526,0.9622471927791523,1.7828585534867483,0.9429123438834907,0.3165740291330317,0.46349422706171384,7.603408975412367,0.9945446814475375,1.2504294409941112,0.9978939817076544,4.788879593608087,21.075087866431446,0.2734611371875136,0.9811085047878286,1.519594485098127,0.9963892034899099,2.978458028821142,12.714327770650415
