subject,ablation,Q_across_node_var,Q_mean_cos,Q_eff_rank,Q_frac_var_sv1,Q_mean_pair_dist,Q_mean_norm,W1_across_node_var,W1_mean_cos,W1_eff_rank,W1_frac_var_sv1,W1_mean_pair_dist,W1_mean_norm,q_norm
CMU_a_0050642,1_raw_signed,3.168755915236989,0.9999010345834661,1.1850652463591644,0.9988799271906362,3.468640575299376,15.388966145047197,0.12501299646336259,0.998901147010806,1.226985960052466,0.9981048323262357,2.2523128173596674,9.617463017446406,15.388966145047197
CMU_a_0050642,2_abs,3.071832702986559,0.9998993478048754,1.186663733390814,0.9988559357073522,3.423456144943752,15.417319446485585,0.1213612238345185,0.9989947531930533,1.2288448199221418,0.9980646641963198,2.224453728945272,9.63440918189217,15.417319446485585
CMU_a_0050642,3_pos_only,3.119856085689855,0.9999003855258568,1.1856885475159127,0.9988711113448734,3.4459715152581856,15.403141485808964,0.12317115198210565,0.9989501405483977,1.227702409335458,0.9980901037874844,2.238334986937337,9.62593136318851,15.403141485808964
CMU_a_0050642,4_all_ones,0.010082548632692373,0.9999981664544181,1.7842305336035669,0.9386380164531403,0.18956056368515145,32.08680997101408,0.00039770059217756227,0.9999969240968408,1.889520696075271,0.9043225578508366,0.12432304286907703,20.252956332325223,32.08680997101408
CMU_a_0050642,5_offdiag_only,3.089127599786512,0.9999483750156449,1.145167847900847,0.9994030811541379,3.4125720470644123,15.0361135861773,0.12132230209865802,0.9988191824833239,1.1793696068567139,0.9989739930408316,2.2098179738886796,9.393159908821376,15.0361135861773
CMU_a_0050646,1_raw_signed,4.884113358627981,0.9996602186741704,1.3102691492874858,0.9953433371228138,4.352303828199935,17.68795885129213,0.1773414150641244,0.9986367594039347,1.4292987946358906,0.9922634525107263,2.7172566275746655,10.574317030097552,17.68795885129213
CMU_a_0050646,2_abs,4.36904799753675,0.9996979637851318,1.320905467027383,0.9948821636882121,4.143648417818317,17.867630990762773,0.1587515889652133,0.9989663890490823,1.4323588774688878,0.991538240316118,2.5881138336328733,10.684855838328412,17.867630990762773
CMU_a_0050646,3_pos_only,4.616400995754652,0.9996828099633904,1.3153638391647233,0.9951259708027126,4.246532523165177,17.77778419858733,0.16768207965105406,0.9988296868490766,1.4270269081419054,0.9919238788678711,2.6517797983939846,10.629532604407729,17.77778419858733
CMU_a_0050646,4_all_ones,0.02556019513906152,0.9999972377941495,1.832254115216152,0.9186248420913294,0.32662980718087653,48.179307619484504,0.00096100527493906,0.9999951448953984,1.9511370988412995,0.8679297912544006,0.21048215454341904,29.482371600597876,48.179307619484504
CMU_a_0050646,5_offdiag_only,4.759652893115974,0.9997734227500583,1.2613575181541947,0.9970239331213058,4.2819213835818655,17.157682595089273,0.1726013925502964,0.9986496435002911,1.3721284651751495,0.9950568445361205,2.6695264345580876,10.246206085359216,17.157682595089273
