unit,fold,fold_protocol,arm,arch,spec,seed,repr_dim,movement_max,clip_rate,best_epoch,svm_tr_enc,native_auc,native_width,native_evr,pca32_auc,pca32_width,pca32_evr,pca64_auc,pca64_width,pca64_evr
s17b_R1a_signed_fused_s0,loso2,loso,R1a,ROWMLP,fcrow_abs,20260818,2880,0.32320135831832886,0.06432748538011696,31,0.6541353383458647,0.6654135338345865,2880,,0.5939849624060151,32,0.49205828529546103,0.5526315789473684,64,0.5996795903670409
s17b_R1a_signed_fused_s0,site0,site,R1a,ROWMLP,fcrow_abs,20260818,2880,0.7455799579620361,0.06581439393939394,82,0.8221978021978023,0.5940659340659341,2880,,0.630989010989011,32,0.5205561671354175,0.5924175824175824,64,0.6291460089096907
s17b_R1a_signed_fused_s0,site1,site,R1a,ROWMLP,fcrow_abs,20260818,2880,0.475912868976593,0.05846774193548387,43,0.708498023715415,0.6080368906455863,2880,,0.5925559947299077,32,0.5238696437853501,0.5097716293368467,64,0.6293784624607408
s17b_R1a_signed_fused_s0,site2,site,R1a,ROWMLP,fcrow_abs,20260818,2880,0.6741582155227661,0.06465517241379311,66,0.7154150197628458,0.6071585419411506,2880,,0.642512077294686,32,0.5541232354464762,0.6072683355292051,64,0.6565776040002534
s17b_R1a_signed_fused_s1,lab0,lab,R1a,ROWMLP,fcrow_abs,20260819,2880,0.15691566467285156,0.05625,20,0.7318681318681318,0.6853846153846154,2880,,0.6003296703296703,32,0.47891203000959615,0.6264835164835165,64,0.5886268128608945
s17b_R1a_signed_fused_s1,lab1,lab,R1a,ROWMLP,fcrow_abs,20260819,2880,0.731684148311615,0.06096311475409836,72,0.794065934065934,0.6389010989010989,2880,,0.6129670329670329,32,0.5331585020083733,0.6074725274725274,64,0.634932958978134
s17b_R1a_signed_fused_s1,lab2,lab,R1a,ROWMLP,fcrow_abs,20260819,2880,0.677946150302887,0.06030701754385965,64,0.7156043956043956,0.5978021978021978,2880,,0.5632967032967032,32,0.5118782506455115,0.607912087912088,64,0.6197558810709061
s17b_R1a_signed_fused_s1,loso0,loso,R1a,ROWMLP,fcrow_abs,20260819,2880,0.8149007558822632,0.06174886033982594,77,0.546875,0.4010416666666667,2880,,0.45833333333333326,32,0.5125595173065025,0.46875000000000006,64,0.6157225502453516
s17b_R1a_signed_fused_s1,loso1,loso,R1a,ROWMLP,fcrow_abs,20260819,2880,0.4513303339481354,0.056220095693779906,38,0.8080808080808081,0.6060606060606061,2880,,0.7171717171717171,32,0.5341229309895589,0.696969696969697,64,0.6312289796108264
s17b_R1a_signed_fused_s1,loso2,loso,R1a,ROWMLP,fcrow_abs,20260819,2880,0.42052480578422546,0.07138535995160314,37,0.6541353383458647,0.6296992481203008,2880,,0.5545112781954886,32,0.5169523348996466,0.5545112781954887,64,0.6176101298230846
s17b_R1a_signed_fused_s1,site0,site,R1a,ROWMLP,fcrow_abs,20260819,2880,0.2716957926750183,0.053125,28,0.8221978021978023,0.5978021978021978,2880,,0.6128571428571429,32,0.4906820044184718,0.6175824175824176,64,0.5983617545374492
s17b_R1a_signed_fused_s1,site1,site,R1a,ROWMLP,fcrow_abs,20260819,2880,0.4422556459903717,0.06180555555555556,40,0.708498023715415,0.5144927536231884,2880,,0.48089591567852435,32,0.5124913581581981,0.5068072024593764,64,0.6184959147605431
s17b_R1a_signed_fused_s1,site2,site,R1a,ROWMLP,fcrow_abs,20260819,2880,0.5657015442848206,0.060625,50,0.7154150197628458,0.6275801493192797,2880,,0.6644707949055776,32,0.5362382702889265,0.6406455862977601,64,0.6384361604742239
s17b_R1a_signed_fused_s2,lab0,lab,R1a,ROWMLP,fcrow_abs,20260820,2880,0.4250423014163971,0.05631868131868132,41,0.7318681318681318,0.6947252747252747,2880,,0.6282417582417582,32,0.576798948338515,0.6351648351648352,64,0.6706090838931917
s17b_R1a_signed_fused_s2,lab1,lab,R1a,ROWMLP,fcrow_abs,20260820,2880,0.525066077709198,0.05739795918367347,48,0.794065934065934,0.628901098901099,2880,,0.6481318681318681,32,0.5542396521678259,0.5706593406593407,64,0.6535986904497638
s17b_R1a_signed_fused_s2,lab2,lab,R1a,ROWMLP,fcrow_abs,20260820,2880,0.5671539306640625,0.06067961165048544,53,0.7156043956043956,0.61989010989011,2880,,0.6031868131868131,32,0.5407244065179362,0.6267032967032967,64,0.6422748708442692
s17b_R1a_signed_fused_s2,loso0,loso,R1a,ROWMLP,fcrow_abs,20260820,2880,0.6810469031333923,0.04876871076774505,59,0.546875,0.3697916666666667,2880,,0.4427083333333333,32,0.5319642294532019,0.421875,64,0.6322717301607381
s17b_R1a_signed_fused_s2,loso1,loso,R1a,ROWMLP,fcrow_abs,20260820,2880,0.7535474896430969,0.05307760927743087,68,0.8080808080808081,0.6262626262626263,2880,,0.6868686868686869,32,0.5224484865352244,0.505050505050505,64,0.6242774463281902
s17b_R1a_signed_fused_s2,loso2,loso,R1a,ROWMLP,fcrow_abs,20260820,2880,0.6937330365180969,0.06520726595249185,63,0.6541353383458647,0.6109022556390977,2880,,0.5921052631578947,32,0.5577229746284895,0.6240601503759399,64,0.65603350105584
s17b_R1a_signed_fused_s2,site0,site,R1a,ROWMLP,fcrow_abs,20260820,2880,0.6477854251861572,0.05866228070175439,64,0.8221978021978023,0.6569230769230769,2880,,0.6473626373626373,32,0.544419690864741,0.6449450549450549,64,0.645771756774857
s17b_R1a_signed_fused_s2,site1,site,R1a,ROWMLP,fcrow_abs,20260820,2880,0.46269768476486206,0.0538563829787234,44,0.708498023715415,0.54655248133509,2880,,0.5440272288098374,32,0.5368457628567063,0.5146025472112428,64,0.6387275369470777
s17b_R1a_signed_fused_s2,site2,site,R1a,ROWMLP,fcrow_abs,20260820,2880,0.6232761740684509,0.05625,60,0.7154150197628458,0.624505928853755,2880,,0.6405357927097057,32,0.5696952173503279,0.5886034255599473,64,0.6669651258498845
s17b_R1p_signed_fused_s0,lab0,lab,R1p,ROWMLP,fcrow_split,20260818,2880,0.41156408190727234,0.054036458333333336,46,0.7318681318681318,0.6481318681318681,2880,,0.638021978021978,32,0.455185232610031,0.6038461538461538,64,0.5892570444969795
s17b_R1p_signed_fused_s0,lab1,lab,R1p,ROWMLP,fcrow_split,20260818,2880,0.6507412791252136,0.07021103896103896,104,0.794065934065934,0.6728571428571428,2880,,0.6278021978021979,32,0.45783852624970267,0.6381318681318681,64,0.5859415852928873
s17b_R1p_signed_fused_s0,lab2,lab,R1p,ROWMLP,fcrow_split,20260818,2880,0.44992518424987793,0.046556122448979595,48,0.7156043956043956,0.5991208791208791,2880,,0.5635164835164835,32,0.4525357599145684,0.5593406593406594,64,0.5879543573575958
s17b_R1p_signed_fused_s0,loso0,loso,R1p,ROWMLP,fcrow_split,20260818,2880,0.5326056480407715,0.04554655870445344,54,0.546875,0.26041666666666663,2880,,0.30729166666666663,32,0.46183046163191066,0.34375,64,0.5887376537848258
s17b_R1p_signed_fused_s0,loso1,loso,R1p,ROWMLP,fcrow_split,20260818,2880,0.7104941010475159,0.05662431941923775,95,0.8080808080808081,0.6969696969696969,2880,,0.696969696969697,32,0.4294872990193354,0.8181818181818181,64,0.556566393681152
s17b_R1p_signed_fused_s0,loso2,loso,R1p,ROWMLP,fcrow_split,20260818,2880,0.6120778322219849,0.07105263157894737,70,0.6541353383458647,0.6466165413533834,2880,,0.6165413533834587,32,0.4638248008320083,0.5488721804511278,64,0.5885673482153749
s17b_R1p_signed_fused_s0,site0,site,R1p,ROWMLP,fcrow_split,20260818,2880,0.28229036927223206,0.04573170731707317,32,0.8221978021978023,0.5782417582417583,2880,,0.5461538461538461,32,0.4409019732261987,0.5639560439560439,64,0.5753555742886142
s17b_R1p_signed_fused_s0,site1,site,R1p,ROWMLP,fcrow_split,20260818,2880,0.708143413066864,0.07315668202764977,167,0.708498023715415,0.5701581027667985,2880,,0.5223978919631094,32,0.427666696657271,0.5553359683794467,64,0.5609470631620788
s17b_R1p_signed_fused_s0,site2,site,R1p,ROWMLP,fcrow_split,20260818,2880,0.5864418148994446,0.05853174603174603,76,0.7154150197628458,0.5747694334650856,2880,,0.5803689064558629,32,0.4642083266272313,0.6044137022397891,64,0.5936015546776852
s17b_R1p_signed_fused_s1,lab0,lab,R1p,ROWMLP,fcrow_split,20260819,2880,0.45680585503578186,0.05461165048543689,53,0.7318681318681318,0.67,2880,,0.6387912087912088,32,0.506080100297565,0.6316483516483518,64,0.627905877090507
s17b_R1p_signed_fused_s1,lab1,lab,R1p,ROWMLP,fcrow_split,20260819,2880,0.5756531953811646,0.06557377049180328,72,0.794065934065934,0.6917582417582417,2880,,0.5863736263736263,32,0.4957881431156904,0.6405494505494506,64,0.6201652989907459
s17b_R1p_signed_fused_s1,lab2,lab,R1p,ROWMLP,fcrow_split,20260819,2880,0.49081605672836304,0.05381944444444445,58,0.7156043956043956,0.5912087912087912,2880,,0.5562637362637363,32,0.5174465340996917,0.536043956043956,64,0.6395085027342735
