unit,fold,fold_protocol,arm,arch,E,mode,spec,seed,D_in,status,verdict,head,probe_honest,svm_tr_enc,svm_tr_full,fused_auc,alpha_selected,delta_vs_svm_tr_enc,delta_vs_svm_tr_full,movement_max,clip_rate,best_epoch,total_steps,n_params,repr_dim_used,n_tr_enc,n_tr_probe,n_te,policy_hash,wall_s,node
s17_A7_signed_fused_s1,site1,site,A7,EDGEMLP,signed,fused,edgetri,20260819,4005,OK,OVERFIT,0.7121212121212122,0.6537110232762406,0.708498023715415,0.6982872200263504,0.708498023715415,1.0,0.0,0.010210803689064685,0.13494248688220978,0.090625,30,1280,1033793,32,610,153,191,798ed7790c1ddabc,41.5,node08.cognition.gla.alces.network
s17_A7_signed_fused_s1,site2,site,A7,EDGEMLP,signed,fused,edgetri,20260819,4005,OK,OVERFIT,0.6745718050065876,0.6858805445761967,0.7154150197628458,0.7221124286341678,0.7166227492314449,0.9,0.0012077294685990392,-0.005489679402722936,0.07722581177949905,0.08671875,19,1280,1033793,32,610,153,191,798ed7790c1ddabc,43.9,node05.cognition.gla.alces.network
s17_A7_signed_fused_s2,lab0,lab,A7,EDGEMLP,signed,fused,edgetri,20260820,4005,OK,OVERFIT,0.7085714285714286,0.7136263736263737,0.7318681318681318,0.749010989010989,0.7318681318681318,1.0,0.0,-0.017142857142857126,0.10401258617639542,0.09375,24,1280,1033793,32,610,153,191,798ed7790c1ddabc,42.9,node01.cognition.gla.alces.network
s17_A7_signed_fused_s2,lab1,lab,A7,EDGEMLP,signed,fused,edgetri,20260820,4005,OK,OVERFIT,0.761978021978022,0.6901098901098901,0.794065934065934,0.7860439560439563,0.7951648351648352,0.8,0.001098901098901206,0.009120879120878889,0.04576735571026802,0.08515625,13,1280,1033793,32,610,153,191,798ed7790c1ddabc,35.8,node02.cognition.gla.alces.network
s17_A7_signed_fused_s2,lab2,lab,A7,EDGEMLP,signed,fused,edgetri,20260820,4005,OK,OVERFIT,0.6853846153846155,0.6971428571428571,0.7156043956043956,0.7224175824175824,0.7115384615384616,0.65,-0.004065934065934029,-0.010879120879120796,0.14710915088653564,0.09567901234567901,31,1296,1033793,32,610,153,191,798ed7790c1ddabc,40.0,node05.cognition.gla.alces.network
s17_A7_signed_fused_s2,loso0,loso,A7,EDGEMLP,signed,fused,edgetri,20260820,4005,OK,OVERFIT,0.5520833333333334,0.40624999999999994,0.546875,0.5885416666666667,0.546875,0.65,0.0,-0.04166666666666674,0.26658985018730164,0.0903674280039722,56,2014,1033793,32,740,186,28,798ed7790c1ddabc,53.7,node05.cognition.gla.alces.network
s17_A7_signed_fused_s2,loso1,loso,A7,EDGEMLP,signed,fused,edgetri,20260820,4005,OK,OVERFIT,0.7272727272727273,0.7272727272727273,0.8080808080808081,0.8181818181818181,0.797979797979798,0.8,-0.010101010101010055,-0.02020202020202011,0.11772578209638596,0.09802631578947368,24,1520,1033793,32,747,187,20,798ed7790c1ddabc,55.8,node05.cognition.gla.alces.network
s17_A7_signed_fused_s2,loso2,loso,A7,EDGEMLP,signed,fused,edgetri,20260820,4005,OK,OVERFIT,0.5845864661654135,0.6109022556390977,0.6541353383458647,0.6936090225563909,0.6597744360902256,0.7,0.005639097744360888,-0.03383458646616533,0.1737453192472458,0.09022556390977443,34,1596,1033793,32,725,182,47,798ed7790c1ddabc,47.4,node02.cognition.gla.alces.network
s17_A7_signed_fused_s2,site0,site,A7,EDGEMLP,signed,fused,edgetri,20260820,4005,OK,OVERFIT,0.7474725274725275,0.7438461538461539,0.8221978021978023,0.8201098901098901,0.8221978021978023,1.0,0.0,0.002087912087912147,0.10041923075914383,0.09140625,22,1280,1033793,32,610,153,191,798ed7790c1ddabc,35.5,node06.cognition.gla.alces.network
s17_A7_signed_fused_s2,site1,site,A7,EDGEMLP,signed,fused,edgetri,20260820,4005,OK,OVERFIT,0.6742424242424243,0.6689723320158102,0.708498023715415,0.6982872200263504,0.708498023715415,1.0,0.0,0.010210803689064685,0.10939425230026245,0.09140625,25,1280,1033793,32,610,153,191,798ed7790c1ddabc,44.6,node01.cognition.gla.alces.network
s17_A7_signed_fused_s2,site2,site,A7,EDGEMLP,signed,fused,edgetri,20260820,4005,OK,HEALTHY,0.690272288098375,0.7026789635485289,0.7154150197628458,0.7221124286341678,0.7154150197628458,1.0,0.0,-0.006697408871321975,0.09440596401691437,0.0921875,22,1280,1033793,32,610,153,191,798ed7790c1ddabc,44.7,node08.cognition.gla.alces.network
s17_R1a_signed_fused_s0,lab0,lab,R1a,ROWMLP,signed,fused,fcrow_abs,20260818,90,OK,OVERFIT,0.6718681318681319,0.7052747252747252,0.7318681318681318,0.749010989010989,0.7318681318681318,1.0,0.0,-0.017142857142857126,0.45926401019096375,0.06989247311827956,43,1488,13249,2880,610,153,191,798ed7790c1ddabc,48.1,node03.cognition.gla.alces.network
s17_R1a_signed_fused_s0,lab1,lab,R1a,ROWMLP,signed,fused,fcrow_abs,20260818,90,OK,OVERFIT,0.6963736263736263,0.6845054945054946,0.794065934065934,0.7860439560439563,0.794065934065934,1.0,0.0,0.008021978021977683,0.5866591334342957,0.056372549019607844,52,1632,13249,2880,610,153,191,798ed7790c1ddabc,41.2,node03.cognition.gla.alces.network
s17_R1a_signed_fused_s0,lab2,lab,R1a,ROWMLP,signed,fused,fcrow_abs,20260818,90,OK,OVERFIT,0.6997802197802199,0.7125274725274725,0.7156043956043956,0.7224175824175824,0.7156043956043956,1.0,0.0,-0.006813186813186767,0.41220033168792725,0.06178977272727273,38,1408,13249,2880,610,153,191,798ed7790c1ddabc,44.3,node03.cognition.gla.alces.network
s17_R1a_signed_fused_s0,loso0,loso,R1a,ROWMLP,signed,fused,fcrow_abs,20260818,90,OK,OVERFIT,0.46354166666666663,0.328125,0.546875,0.5885416666666667,0.5364583333333333,0.85,-0.01041666666666674,-0.05208333333333348,0.6792591214179993,0.059941520467836254,58,2052,13249,2880,740,186,28,798ed7790c1ddabc,58.3,node06.cognition.gla.alces.network
s17_R1a_signed_fused_s0,loso1,loso,R1a,ROWMLP,signed,fused,fcrow_abs,20260818,90,OK,OVERFIT,0.8080808080808081,0.6464646464646465,0.8080808080808081,0.8181818181818181,0.8080808080808081,1.0,0.0,-0.010101010101010055,0.4193621873855591,0.04957160342717258,36,1634,13249,2880,747,187,20,798ed7790c1ddabc,57.2,node05.cognition.gla.alces.network
s17_R1a_signed_fused_s0,loso2,loso,R1a,ROWMLP,signed,fused,fcrow_abs,20260818,90,OK,OVERFIT,0.5958646616541353,0.6654135338345865,0.6541353383458647,0.6936090225563909,0.693609022556391,0.75,0.03947368421052633,1.1102230246251565e-16,0.32320135831832886,0.06432748538011696,31,1539,13249,2880,725,182,47,798ed7790c1ddabc,54.1,node01.cognition.gla.alces.network
s17_R1a_signed_fused_s0,site0,site,R1a,ROWMLP,signed,fused,fcrow_abs,20260818,90,OK,OVERFIT,0.8036263736263736,0.5940659340659341,0.8221978021978023,0.8201098901098901,0.8221978021978023,1.0,0.0,0.002087912087912147,0.7455799579620361,0.06581439393939394,82,2112,13249,2880,610,153,191,798ed7790c1ddabc,41.6,node08.cognition.gla.alces.network
s17_R1a_signed_fused_s0,site1,site,R1a,ROWMLP,signed,fused,fcrow_abs,20260818,90,OK,OVERFIT,0.742094861660079,0.6080368906455863,0.708498023715415,0.6982872200263504,0.7122310057092667,0.6,0.003732981993851636,0.013943785682916321,0.475912868976593,0.05846774193548387,43,1488,13249,2880,610,153,191,798ed7790c1ddabc,46.7,node05.cognition.gla.alces.network
s17_R1a_signed_fused_s0,site2,site,R1a,ROWMLP,signed,fused,fcrow_abs,20260818,90,OK,OVERFIT,0.643939393939394,0.6071585419411506,0.7154150197628458,0.7221124286341678,0.7142072902942468,0.9,-0.0012077294685990392,-0.007905138339921014,0.6741582155227661,0.06465517241379311,66,1856,13249,2880,610,153,191,798ed7790c1ddabc,48.7,node03.cognition.gla.alces.network
s17_R1a_signed_fused_s1,lab0,lab,R1a,ROWMLP,signed,fused,fcrow_abs,20260819,90,OK,HEALTHY,0.6101098901098901,0.6853846153846154,0.7318681318681318,0.749010989010989,0.7318681318681318,1.0,0.0,-0.017142857142857126,0.15691566467285156,0.05625,20,1280,13249,2880,610,153,191,798ed7790c1ddabc,46.0,node06.cognition.gla.alces.network
s17_R1a_signed_fused_s1,lab1,lab,R1a,ROWMLP,signed,fused,fcrow_abs,20260819,90,OK,OVERFIT,0.7297802197802197,0.6389010989010989,0.794065934065934,0.7860439560439563,0.794065934065934,1.0,0.0,0.008021978021977683,0.731684148311615,0.06096311475409836,72,1952,13249,2880,610,153,191,798ed7790c1ddabc,41.6,node01.cognition.gla.alces.network
s17_R1a_signed_fused_s1,lab2,lab,R1a,ROWMLP,signed,fused,fcrow_abs,20260819,90,OK,OVERFIT,0.6447252747252747,0.5978021978021978,0.7156043956043956,0.7224175824175824,0.7076923076923076,0.8,-0.007912087912087973,-0.01472527472527474,0.677946150302887,0.06030701754385965,64,1824,13249,2880,610,153,191,798ed7790c1ddabc,46.2,node03.cognition.gla.alces.network
s17_R1a_signed_fused_s1,loso0,loso,R1a,ROWMLP,signed,fused,fcrow_abs,20260819,90,OK,OVERFIT,0.5625,0.4010416666666667,0.546875,0.5885416666666667,0.546875,1.0,0.0,-0.04166666666666674,0.8149007558822632,0.06174886033982594,77,2413,13249,2880,740,186,28,798ed7790c1ddabc,60.6,node08.cognition.gla.alces.network
s17_R1a_signed_fused_s1,loso1,loso,R1a,ROWMLP,signed,fused,fcrow_abs,20260819,90,OK,OVERFIT,0.8383838383838383,0.6060606060606061,0.8080808080808081,0.8181818181818181,0.8080808080808081,1.0,0.0,-0.010101010101010055,0.4513303339481354,0.056220095693779906,38,1672,13249,2880,747,187,20,798ed7790c1ddabc,57.4,node02.cognition.gla.alces.network
s17_R1a_signed_fused_s1,loso2,loso,R1a,ROWMLP,signed,fused,fcrow_abs,20260819,90,OK,OVERFIT,0.5394736842105263,0.6296992481203008,0.6541353383458647,0.6936090225563909,0.6541353383458646,0.9,-1.1102230246251565e-16,-0.03947368421052633,0.42052480578422546,0.07138535995160314,37,1653,13249,2880,725,182,47,798ed7790c1ddabc,53.3,node01.cognition.gla.alces.network
s17_R1a_signed_fused_s1,site0,site,R1a,ROWMLP,signed,fused,fcrow_abs,20260819,90,OK,OVERFIT,0.7319780219780219,0.5978021978021978,0.8221978021978023,0.8201098901098901,0.8221978021978023,1.0,0.0,0.002087912087912147,0.2716957926750183,0.053125,28,1280,13249,2880,610,153,191,798ed7790c1ddabc,38.7,node06.cognition.gla.alces.network
s17_R1a_signed_fused_s1,site1,site,R1a,ROWMLP,signed,fused,fcrow_abs,20260819,90,OK,OVERFIT,0.6900527009222661,0.5144927536231884,0.708498023715415,0.6982872200263504,0.6628238910847607,0.6,-0.04567413263065434,-0.035463328941589656,0.4422556459903717,0.06180555555555556,40,1440,13249,2880,610,153,191,798ed7790c1ddabc,45.5,node05.cognition.gla.alces.network
s17_R1a_signed_fused_s1,site2,site,R1a,ROWMLP,signed,fused,fcrow_abs,20260819,90,OK,OVERFIT,0.6243961352657005,0.6275801493192797,0.7154150197628458,0.7221124286341678,0.7157444005270092,0.8,0.00032938076416333395,-0.006368028107158641,0.5657015442848206,0.060625,50,1600,13249,2880,610,153,191,798ed7790c1ddabc,48.5,node05.cognition.gla.alces.network
