seed,path,branch,n,h_auc,h_bacc,h_fold_sd,h_loso_auc,h_loso_bacc,h_loso_fold_sd,z_auc,z_bacc,z_fold_sd,z_loso_auc,z_loso_bacc,z_loso_fold_sd
0,C,B,954,0.5056134246515008,0.4990178158514832,0.032542012763762174,0.49183642009293316,0.5030280340901583,0.09922104806896272,0.5115902133938206,0.5092008192208592,0.022316862286950574,0.47775551102204405,0.4785284855425136,0.11921347055145758
0,C,C,954,0.4745799290889471,0.4722874320068709,0.05068492860121547,,,,0.4609967187121496,0.47623378625382634,0.05345355090230511,,,
0,C,D,954,0.4750600101301504,0.47881917681516883,0.04346192444988599,,,,0.4770552093197384,0.4890021801845449,0.025143397195289515,,,
0,O,B,954,0.5056134246515008,0.4990178158514832,0.032542012763762174,0.49183642009293316,0.5030280340901583,0.09922104806896272,0.5115902133938206,0.5092008192208592,0.022316862286950574,0.47775551102204405,0.4785284855425136,0.11921347055145758
0,O,C,954,0.4745799290889471,0.4722874320068709,0.05068492860121547,,,,0.4609967187121496,0.47623378625382634,0.05345355090230511,,,
0,O,D,954,0.4750600101301504,0.47881917681516883,0.04346192444988599,,,,0.4770552093197384,0.4890021801845449,0.025143397195289515,,,
0,P,B,954,0.5049703803210817,0.4991191173555903,0.035758826867923,0.47568103239445925,0.4806954568477615,0.0924233500543588,0.5121055297408003,0.498275672223568,0.020640742775490897,0.5175802153758066,0.5189940320200841,0.10340529352342673
0,P,C,954,0.4549406505318329,0.4651809112730957,0.06120629438506299,,,,0.489008786804378,0.48647845140831114,0.0665059104040922,,,
0,P,D,954,0.5504415424255105,0.5418441278160717,0.034206982593416445,,,,0.5244643132418684,0.5198352749454954,0.032111571792857736,,,
1,C,B,954,0.49654914224052504,0.4900019819859499,0.040742552120098155,0.4867669404743553,0.4825365015745777,0.09815948014753331,0.4908190006386399,0.4859939659538858,0.025916696614925214,0.48133189455834746,0.471935078949107,0.10713863100367794
1,C,C,954,0.463855182893259,0.4743244731220683,0.04620306179722513,,,,0.46032724790239815,0.46954128036292364,0.046936968455518015,,,
1,C,D,954,0.49197736131603864,0.490101081283446,0.04691042468514918,,,,0.4965006936950825,0.49646986280252814,0.026202389069042886,,,
1,O,B,954,0.49654914224052504,0.4900019819859499,0.040742552120098155,0.4867669404743553,0.4825365015745777,0.09815948014753331,0.4908190006386399,0.4859939659538858,0.025916696614925214,0.48133189455834746,0.471935078949107,0.10713863100367794
1,O,C,954,0.463855182893259,0.4743244731220683,0.04620306179722513,,,,0.46032724790239815,0.46954128036292364,0.046936968455518015,,,
1,O,D,954,0.49197736131603864,0.490101081283446,0.04691042468514918,,,,0.4965006936950825,0.49646986280252814,0.026202389069042886,,,
1,P,B,954,0.5082824990640622,0.5163139465744676,0.05730013072780491,0.5190292673258605,0.5266555088198375,0.09791397063506069,0.49765024554603715,0.5037063137263538,0.05798057241152436,0.49285824396044836,0.5051950053954062,0.10561317609442368
1,P,C,954,0.4823052698804202,0.47736572045189285,0.06494247007307896,,,,0.47311766389922705,0.4737783258825343,0.06530619998288922,,,
1,P,D,954,0.5192010394415204,0.5083926093946134,0.06291417084651475,,,,0.5089783963531458,0.5064546675769122,0.04697907519262788,,,
2,C,B,954,0.5039177255610121,0.5015393424211059,0.022372788210827325,0.49674293642229517,0.4845383073839987,0.09715691805210855,0.5245127617873109,0.5219978418375212,0.04628912854106977,0.5223501948952851,0.5206082494659648,0.10728178038582177
2,C,C,954,0.476931885749521,0.47380695456847766,0.06137350556002023,,,,0.4657755070580722,0.462853178885243,0.05969663887110011,,,
2,C,D,954,0.5369332070734877,0.5408112929155013,0.04657013377780571,,,,0.5061859983703672,0.5101389592371557,0.03310920627643472,,,
2,O,B,954,0.5039177255610121,0.5015393424211059,0.022372788210827325,0.49674293642229517,0.4845383073839987,0.09715691805210855,0.5245127617873109,0.5219978418375212,0.04628912854106977,0.5223501948952851,0.5206082494659648,0.10728178038582177
2,O,C,954,0.476931885749521,0.47380695456847766,0.06137350556002023,,,,0.4657755070580722,0.462853178885243,0.05969663887110011,,,
2,O,D,954,0.5369332070734877,0.5408112929155013,0.04657013377780571,,,,0.5061859983703672,0.5101389592371557,0.03310920627643472,,,
2,P,B,954,0.5303838446123015,0.5252989495474465,0.033254459623636726,0.5180647008302319,0.5163139465744676,0.11296289329121137,0.5215353784492062,0.517346781475038,0.05610141092911514,0.5311590213393821,0.5210310731352816,0.12934224755094736
2,P,C,954,0.47093747935431307,0.4729062520645687,0.0670685604304414,,,,0.4667180514875905,0.47225880332092757,0.05286110009292118,,,
2,P,D,954,0.5051113215441873,0.5004734744213702,0.029012759225280085,,,,0.517342377061816,0.508456473386333,0.04227775832330853,,,
