host,time,slurm_job,slurm_array,git_head,git_dirty,python,torch,cuda_available,device_name,base_seed,unit,seed,path,branch,device,secs,h_dim,z_dim
node14.cognition.gla.alces.network,2026-08-19T02:56:16,1869340,9,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,2,P,C,cpu,0.68,32,32
node10.cognition.gla.alces.network,2026-08-19T02:56:17,1869344,0,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,2,P,D,cpu,0.66,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:18,1869347,3,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,3,C,B,cpu,0.88,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:18,1869348,4,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,3,C,C,cpu,0.88,32,32
node16.cognition.gla.alces.network,2026-08-19T02:56:18,1869349,5,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,3,C,D,cpu,0.83,32,32
node10.cognition.gla.alces.network,2026-08-19T02:56:18,1869344,0,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,3,O,B,cpu,0.89,32,32
node11.cognition.gla.alces.network,2026-08-19T02:56:23,1869345,1,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,3,O,C,cpu,1.92,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:18,1869346,2,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,3,O,D,cpu,0.9,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:18,1869351,7,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,3,P,B,cpu,0.78,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:17,1869352,8,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,3,P,C,cpu,0.68,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:17,1869340,9,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,3,P,D,cpu,0.7,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:19,1869346,2,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,4,C,B,cpu,0.91,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:19,1869347,3,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,4,C,C,cpu,0.9,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:19,1869348,4,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,4,C,D,cpu,0.89,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:18,1869340,9,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,4,O,B,cpu,0.82,32,32
node10.cognition.gla.alces.network,2026-08-19T02:56:19,1869344,0,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,4,O,C,cpu,0.82,32,32
node11.cognition.gla.alces.network,2026-08-19T02:56:25,1869345,1,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,4,O,D,cpu,1.87,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:19,1869350,6,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,4,P,B,cpu,0.77,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:19,1869351,7,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,4,P,C,cpu,0.78,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:18,1869352,8,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,4,P,D,cpu,0.69,32,32
node11.cognition.gla.alces.network,2026-08-19T02:56:27,1869345,1,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,5,C,B,cpu,2.05,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:20,1869346,2,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,5,C,C,cpu,0.9,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:20,1869347,3,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,5,C,D,cpu,0.85,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:18,1869352,8,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,5,O,B,cpu,0.81,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:19,1869340,9,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,5,O,C,cpu,0.84,32,32
node10.cognition.gla.alces.network,2026-08-19T02:56:20,1869344,0,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,5,O,D,cpu,0.86,32,32
node16.cognition.gla.alces.network,2026-08-19T02:56:19,1869349,5,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,5,P,B,cpu,0.68,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:20,1869350,6,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,5,P,C,cpu,0.79,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:20,1869351,7,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,5,P,D,cpu,0.75,32,32
node10.cognition.gla.alces.network,2026-08-19T02:56:21,1869344,0,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,6,C,B,cpu,0.98,32,32
node11.cognition.gla.alces.network,2026-08-19T02:56:29,1869345,1,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,6,C,C,cpu,2.16,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:21,1869346,2,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,6,C,D,cpu,0.9,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:21,1869351,7,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,6,O,B,cpu,0.91,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:19,1869352,8,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,6,O,C,cpu,0.84,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:19,1869340,9,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,6,O,D,cpu,0.85,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:20,1869348,4,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,6,P,B,cpu,0.73,32,32
node16.cognition.gla.alces.network,2026-08-19T02:56:20,1869349,5,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,6,P,C,cpu,0.67,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:21,1869350,6,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,6,P,D,cpu,0.75,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:20,1869340,9,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,7,C,B,cpu,0.84,32,32
node10.cognition.gla.alces.network,2026-08-19T02:56:22,1869344,0,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,7,C,C,cpu,0.86,32,32
node11.cognition.gla.alces.network,2026-08-19T02:56:32,1869345,1,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,7,C,D,cpu,2.09,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:22,1869350,6,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,7,O,B,cpu,0.96,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:22,1869351,7,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,7,O,C,cpu,0.98,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:20,1869352,8,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,7,O,D,cpu,0.87,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:20,1869347,3,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,7,P,B,cpu,0.69,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:20,1869348,4,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,7,P,C,cpu,0.69,32,32
node16.cognition.gla.alces.network,2026-08-19T02:56:21,1869349,5,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,7,P,D,cpu,0.64,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:21,1869352,8,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,8,C,B,cpu,0.84,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:21,1869340,9,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,8,C,C,cpu,0.83,32,32
node10.cognition.gla.alces.network,2026-08-19T02:56:23,1869344,0,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,8,C,D,cpu,0.85,32,32
node16.cognition.gla.alces.network,2026-08-19T02:56:21,1869349,5,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,8,O,B,cpu,0.84,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:23,1869350,6,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,8,O,C,cpu,0.95,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:23,1869351,7,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,8,O,D,cpu,0.99,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:21,1869346,2,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,8,P,B,cpu,0.7,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:21,1869347,3,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,8,P,C,cpu,0.7,32,32
node09.cognition.gla.alces.network,2026-08-19T02:56:21,1869348,4,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,8,P,D,cpu,0.68,32,32
node15.cognition.gla.alces.network,2026-08-19T02:56:24,1869351,7,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,9,C,B,cpu,1.03,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:22,1869352,8,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,9,C,C,cpu,0.84,32,32
node14.cognition.gla.alces.network,2026-08-19T02:56:22,1869340,9,72accecb86b496557734031a1ba1a9e0825f79c6,,3.12.13,2.5.0+cu121,False,,20260818,J3a,9,C,D,cpu,0.84,32,32
