comparison,n_pairs,mean,median,sd,ci_lo,ci_hi,min,max
O_B_h - P_B_h,50,0.014690832213878307,0.014849479178136477,0.022479903455415104,0.008738322799445036,0.02110546807901516,-0.043039926005857876,0.0740954436345217
C_B_h - P_B_h,50,0.014690832213878307,0.014849479178136477,0.022479903455415104,0.008362947873769523,0.020973135281552105,-0.043039926005857876,0.0740954436345217
O_B_h - C_B_h,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O_B_z - P_B_z,50,0.0050990772754299744,0.0032196260653173936,0.027459184012350635,-0.0025380343103790057,0.012703853861569275,-0.05418749587086269,0.0697659054372482
C_B_z - P_B_z,50,0.0050990772754299744,0.0032196260653173936,0.027459184012350635,-0.002725893545332435,0.012641192274659206,-0.05418749587086269,0.0697659054372482
O_B_z - C_B_z,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_B_h - P_B_z,50,-0.005062520645686978,-0.000605606818031651,0.02045502545080826,-0.011192094078266417,0.00045829681340703776,-0.07251866370102844,0.03372459204122541
O_B_h - O_B_z,50,0.004529234292761355,0.0024995045035125507,0.02130269751233279,-0.001184179347706384,0.010496174767116662,-0.04336144817106746,0.053614922151996425
C_B_h - C_B_z,50,0.004529234292761355,0.0024995045035125507,0.02130269751233279,-0.0013220793234821316,0.01028722940386268,-0.04336144817106746,0.053614922151996425
