file_id,T,tr,min_valid_vox,OLD_max_abs,OLD_max_rel,OLD_mean_abs,M1_max_abs,M1_max_rel,M1_mean_abs,M2_max_abs,M2_max_rel,M2_mean_abs
CMU_b_0050645,316,1.5,55,3.552713678800501e-15,6.037681926240352e-16,4.445004035628868e-16,7.105427357601002e-15,3.7463888655561395e-16,3.6267285471088446e-16,5.329070518200751e-15,4.533757570632205e-16,7.105427357601002e-16
Caltech_0051492,146,2.0,62,3.552713678800501e-15,4.865799929482326e-16,2.2081102378655892e-16,1.7763568394002505e-15,4.409277612135706e-16,2.6727591333568584e-16,3.552713678800501e-15,4.3750037630769185e-16,4.63826508065621e-16
KKI_0050802,152,2.5,62,2.6645352591003757e-15,4.876627227236843e-16,3.7500866609560843e-16,1.7763568394002505e-15,4.2097614775155e-16,3.1415199659763687e-16,1.0658141036401503e-14,5.36389011548901e-16,7.894919286223335e-16
Leuven_1_0050698,246,1.6666699647903442,22,1.7763568394002505e-15,4.109462913392913e-16,2.2564254991224247e-16,2.6645352591003757e-15,5.629610430744418e-16,2.1793266779679e-16,3.552713678800501e-15,3.7643622979380463e-16,4.786294817272897e-16
Leuven_2_0050744,246,1.6511199474334717,42,5.329070518200751e-15,4.937358056518314e-16,4.644432986348572e-16,3.552713678800501e-15,5.719217964006586e-16,5.246831775635925e-16,1.0658141036401503e-14,5.328340371142926e-16,9.9015446048051e-16
MaxMun_b_0051327,116,3.0,62,2.6645352591003757e-15,4.071762326689212e-16,2.0641924383771428e-16,1.7763568394002505e-15,3.8736890615041535e-16,2.3684757858670006e-16,7.105427357601002e-15,4.431729758312299e-16,8.026501274327057e-16
NYU_0050954,176,2.0,62,1.7763568394002505e-15,5.044627577421365e-16,3.092176720437473e-16,3.552713678800501e-15,4.2575654326639057e-16,3.4375794392097437e-16,5.329070518200751e-15,4.0339882071404127e-16,8.552829226741946e-16
NYU_0050990,176,2.0,60,2.6645352591003757e-15,4.528669056818884e-16,2.5699607051508254e-16,3.552713678800501e-15,5.191794784627111e-16,3.322445199618987e-16,7.105427357601002e-15,4.1326725469932957e-16,8.684411214845669e-16
NYU_0051026,176,2.0,62,2.6645352591003757e-15,6.5826809225256e-16,3.4458033134662265e-16,1.7763568394002505e-15,3.9368517559144637e-16,3.758310535212567e-16,7.105427357601002e-15,4.767156039818602e-16,9.408112149416142e-16
NYU_0051061,176,2.0,62,1.7763568394002505e-15,4.048548223949517e-16,3.092176720437473e-16,1.7763568394002505e-15,3.7165807096880117e-16,2.500057773970723e-16,8.881784197001252e-15,5.941430775639276e-16,9.144948173208697e-16
NYU_0051094,176,2.0,62,3.552713678800501e-15,4.301508285637125e-16,3.898116397572772e-16,3.552713678800501e-15,4.3882869926709123e-16,4.2270713678320774e-16,1.4210854715202004e-14,6.045706908652923e-16,1.1447632965023837e-15
