file_id,T,tr,min_valid_vox,OLD_max_abs,OLD_max_rel,OLD_mean_abs,M1_max_abs,M1_max_rel,M1_mean_abs,M2_max_abs,M2_max_rel,M2_mean_abs
CMU_b_0050658,316,1.5,44,2.6645352591003757e-15,5.630083303516961e-16,1.949058198786386e-16,1.3322676295501878e-15,4.844277330116151e-16,1.9408343245299034e-16,7.105427357601002e-15,5.27941040428539e-16,5.658025488460057e-16
KKI_0050773,152,2.5,62,3.552713678800501e-15,6.731729912088311e-16,3.092176720437473e-16,1.7763568394002505e-15,4.121212935217664e-16,3.116848343206921e-16,7.105427357601002e-15,5.236215959549398e-16,8.355456244586364e-16
KKI_0050807,152,2.5,62,7.105427357601002e-15,4.920618162330408e-16,5.033011044967376e-16,3.552713678800501e-15,4.22887798645678e-16,6.184353440874946e-16,1.4210854715202004e-14,4.41316692003653e-16,1.4474018691409447e-15
Leuven_1_0050701,246,1.66989004611969,28,3.552713678800501e-15,4.2144552429510327e-16,3.575329333005828e-16,3.552713678800501e-15,4.040627272435816e-16,3.8076537807514628e-16,5.329070518200751e-15,4.2984359092609016e-16,7.516621070425134e-16
Leuven_2_0050747,246,1.650990009307861,62,3.552713678800501e-15,4.717313826355599e-16,4.67116057768214e-16,5.329070518200751e-15,5.091559034010902e-16,5.016563296454411e-16,1.0658141036401503e-14,4.0439948760247433e-16,7.302800339756585e-16
MaxMun_c_0051333,116,3.0,57,2.6645352591003757e-15,4.904955137623196e-16,3.48692268474864e-16,3.552713678800501e-15,4.1230091087574087e-16,3.388236193670848e-16,7.105427357601002e-15,3.8379059428317946e-16,8.75020220889753e-16
NYU_0050957,176,2.0,44,1.7763568394002505e-15,4.630865124096965e-16,3.3265571367472285e-16,2.6645352591003757e-15,3.59707351134485e-16,2.911251486794855e-16,5.329070518200751e-15,4.909803427633026e-16,7.927814783249266e-16
NYU_0050993,176,2.0,62,3.552713678800501e-15,4.510921468726145e-16,3.64317629562181e-16,3.552713678800501e-15,4.160680633488303e-16,3.9968028886505636e-16,1.0658141036401503e-14,6.047778314268825e-16,1.0789723024505225e-15
NYU_0051029,176,2.0,62,1.7763568394002505e-15,5.098363337283944e-16,3.322445199618987e-16,3.552713678800501e-15,4.2511965708146103e-16,3.602056924339397e-16,7.105427357601002e-15,4.2124759045802953e-16,9.93444010183103e-16
NYU_0051064,176,2.0,62,7.105427357601002e-15,4.1149328105836804e-16,6.159681818105498e-16,3.552713678800501e-15,4.1063465680664464e-16,6.217248937900876e-16,1.0658141036401503e-14,5.395395648957427e-16,1.335557179252781e-15
NYU_0051097,176,2.0,62,3.552713678800501e-15,3.9519834451837975e-16,3.889892523316289e-16,3.552713678800501e-15,3.8449286684024633e-16,3.371788445157883e-16,1.0658141036401503e-14,5.39220889901142e-16,8.75020220889753e-16
NYU_0051149,176,2.0,56,2.6645352591003757e-15,4.448935074391696e-16,3.4704749362356744e-16,2.6645352591003757e-15,4.598566852523949e-16,3.5362659302875356e-16,7.105427357601002e-15,4.443388997016938e-16,9.34232115536428e-16
Olin_0050127,206,1.5,62,1.7763568394002505e-15,4.832979565628131e-16,3.2566542055671256e-16,3.552713678800501e-15,3.846479690884693e-16,3.5362659302875356e-16,7.105427357601002e-15,4.0299170297566213e-16,6.97384536949728e-16
