file_id,T,tr,min_valid_vox,OLD_max_abs,OLD_max_rel,OLD_mean_abs,M1_max_abs,M1_max_rel,M1_mean_abs,M2_max_abs,M2_max_rel,M2_mean_abs
CMU_a_0050659,236,2.0,62,3.552713678800501e-15,4.887418081928628e-16,4.2023997450626296e-16,1.7763568394002505e-15,3.7591656111972266e-16,3.4540271877227093e-16,5.329070518200751e-15,5.084977090469882e-16,8.487038232690086e-16
Caltech_0051484,146,2.0,42,1.7763568394002505e-15,4.517572718636587e-16,2.453798481278008e-16,3.552713678800501e-15,4.2606268223258633e-16,2.500057773970723e-16,5.329070518200751e-15,4.192600719760187e-16,7.00674086652321e-16
KKI_0050794,124,2.5,62,2.6645352591003757e-15,3.956323091462657e-16,3.3553406966449175e-16,5.329070518200751e-15,4.450969182711963e-16,4.662936703425658e-16,7.105427357601002e-15,4.1905516756174634e-16,8.881784197001252e-16
Leuven_1_0050690,246,1.6661100387573242,10,3.552713678800501e-15,5.325385833206733e-16,3.873958766944354e-16,3.552713678800501e-15,4.403675212040502e-16,5.123473661788685e-16,5.329070518200751e-15,5.779203251773139e-16,6.513308411134251e-16
Leuven_2_0050736,246,1.6516599655151367,18,3.552713678800501e-15,4.876318071173576e-16,3.2155348342847127e-16,3.552713678800501e-15,4.204167925790441e-16,3.4540271877227093e-16,7.105427357601002e-15,4.170675346775621e-16,5.526443500356335e-16
MaxMun_a_0051373,116,3.0,57,1.7763568394002505e-15,4.813866451884872e-16,1.8750433304780422e-16,1.7763568394002505e-15,4.877540680051451e-16,2.0230730670947297e-16,5.329070518200751e-15,4.863247561648689e-16,6.315935428978669e-16
MaxMun_d_0051352,196,3.0,62,7.105427357601002e-15,4.587736927144081e-16,6.760024638828731e-16,5.329070518200751e-15,4.65858878121665e-16,6.447517417082391e-16,7.105427357601002e-15,3.7687385471334017e-16,1.052655904829778e-15
NYU_0050982,176,2.0,62,3.552713678800501e-15,4.2550377757317017e-16,3.1332960917198864e-16,2.6645352591003757e-15,5.747020851569351e-16,3.273101954080091e-16,7.105427357601002e-15,4.316114981729875e-16,1.052655904829778e-15
NYU_0051016,176,2.0,62,1.7763568394002505e-15,5.7027541114288e-16,2.524729396740171e-16,3.552713678800501e-15,3.9652729038824327e-16,3.4046839421838136e-16,7.105427357601002e-15,4.314362833769445e-16,9.408112149416142e-16
NYU_0051053,176,2.0,62,3.552713678800501e-15,5.131327554677089e-16,3.4458033134662265e-16,3.552713678800501e-15,4.325478489919638e-16,3.618504672852362e-16,7.105427357601002e-15,4.3068236411421077e-16,7.993605777301127e-16
NYU_0051085,176,2.0,62,5.329070518200751e-15,4.711177878139195e-16,3.848773152033876e-16,7.105427357601002e-15,4.10087484170465e-16,4.473787595526556e-16,1.0658141036401503e-14,5.397672796071603e-16,1.2500288869853615e-15
NYU_0051123,176,2.0,38,3.552713678800501e-15,4.450948197433939e-16,3.7233590696225157e-16,3.552713678800501e-15,4.019327289037529e-16,4.3093101103969037e-16,7.105427357601002e-15,4.952685579187008e-16,9.473903143468002e-16
Olin_0050115,206,1.5,62,1.7763568394002505e-15,3.72683295546201e-16,3.026385726385612e-16,2.6645352591003757e-15,4.0918160586958483e-16,2.9441469838207856e-16,7.105427357601002e-15,5.793804029219447e-16,8.223874256482641e-16
Pitt_0050014,196,1.5,62,1.7763568394002505e-15,3.718298641345756e-16,2.0559685641206603e-16,2.6645352591003757e-15,3.9714538158926023e-16,2.837236618486511e-16,5.329070518200751e-15,4.3031666058336626e-16,6.644890399237974e-16
Pitt_0050049,196,1.5,62,3.552713678800501e-15,4.003026668014958e-16,3.963907391624633e-16,5.329070518200751e-15,4.314032625872434e-16,5.065906541993307e-16,3.552713678800501e-15,3.7083604411223936e-16,7.237009345704724e-16
SBL_0051577,196,2.200000047683716,41,1.7763568394002505e-15,5.049852572852073e-16,2.2739012319174504e-16,2.6645352591003757e-15,4.50253979693919e-16,2.1217595581725215e-16,7.105427357601002e-15,6.202011392677979e-16,6.151457943849015e-16
SDSU_0050208,176,2.0,7,1.7763568394002505e-15,4.173255593483079e-16,3.5270140717489926e-16,3.552713678800501e-15,4.4149522139220263e-16,3.6349524213653274e-16,5.329070518200751e-15,3.9176844406466043e-16,5.970532710206398e-16
Stanford_0051185,236,2.0,62,3.552713678800501e-15,4.977399254333573e-16,4.802742565785862e-16,3.552713678800501e-15,3.67285426398593e-16,3.9310118945987024e-16,5.329070518200751e-15,5.090048522586553e-16,8.585724723767877e-16
Trinity_0050252,146,2.0,62,3.552713678800501e-15,4.315697873114038e-16,3.569161427313466e-16,3.552713678800501e-15,4.053131117649637e-16,3.7171911639301537e-16,7.105427357601002e-15,4.830468369308728e-16,8.256769753508571e-16
UCLA_1_0051206,116,3.0,62,1.7763568394002505e-15,5.757420443562363e-16,2.1217595581725215e-16,1.7763568394002505e-15,4.146874251317454e-16,2.1628789294549346e-16,3.552713678800501e-15,3.847134631902253e-16,6.052771452771224e-16
UCLA_1_0051249,116,3.0,62,1.7763568394002505e-15,5.307019626001391e-16,2.401371282892931e-16,1.7763568394002505e-15,4.1098169637084586e-16,2.0970879354030734e-16,3.552713678800501e-15,4.139269402322042e-16,5.460652506304474e-16
UCLA_2_0051294,116,3.0,62,3.552713678800501e-15,4.141903252297698e-16,3.289549702593056e-16,3.552713678800501e-15,4.368263663560516e-16,3.9968028886505636e-16,7.105427357601002e-15,4.28806490424996e-16,6.513308411134251e-16
UM_1_0050285,296,2.0,62,1.7763568394002505e-15,4.867204197300109e-16,2.9441469838207856e-16,2.6645352591003757e-15,4.411641413911101e-16,3.108624468950438e-16,5.329070518200751e-15,4.36659960249628e-16,7.56596431596403e-16
UM_1_0050325,296,2.0,62,5.329070518200751e-15,4.826349093856199e-16,5.000115547941446e-16,3.552713678800501e-15,4.2609429620873863e-16,4.1119371282413205e-16,7.105427357601002e-15,4.4353065324993724e-16,9.27653016131242e-16
UM_1_0050358,296,2.0,62,2.6645352591003757e-15,6.474032721095927e-16,2.9811544179749573e-16,3.552713678800501e-15,4.234991857601985e-16,3.108624468950438e-16,5.329070518200751e-15,5.196285239513978e-16,7.237009345704724e-16
