cond,seed,perm_auc,perm_bacc,perm_acc,featperm_auc,featperm_bacc
M1|all3|D_SUBJ_BAND_Z|linsvm,20560818,0.47550485586557734,0.47942918804642254,0.48218029350104824,0.4797991587570746,0.48020436477350303
M1|all3|D_SUBJ_BAND_Z|linsvm,20560819,0.5267546081173335,0.5320465106036247,0.5314465408805031,0.528705763174701,0.5236120592834019
M1|all3|D_SUBJ_BAND_Z|linsvm,20560820,0.5172719064502632,0.5165033363430157,0.5209643605870021,0.4789314893523311,0.4814640269550089
M1|all3|D_SUBJ_BAND_Z|linsvm,20560821,0.48152128432689556,0.47684379748508005,0.480083857442348,0.5405536347420116,0.5250985487458433
M1|all3|D_SUBJ_BAND_Z|linsvm,20560822,0.4816886520293334,0.46640313594221405,0.46855345911949686,0.5061595718910348,0.5038318395031822
M1|all3|D_SUBJ_BAND_Z|linsvm,20560823,0.5256226739192671,0.516888722499945,0.5178197064989518,0.4608469686625999,0.4771014556585699
M1|all3|D_SUBJ_BAND_Z|linsvm,20560824,0.5044110198418815,0.4999537536611685,0.5031446540880503,0.5672796141734018,0.5432645510801823
M1|all3|D_SUBJ_BAND_Z|linsvm,20560825,0.5043097183377745,0.48369486225197644,0.48532494758909855,0.49208747164658995,0.4995000990992975
M1|all3|D_SUBJ_BAND_Z|linsvm,20560826,0.48047303398004804,0.4890286066638772,0.4916142557651992,0.5072959105023234,0.490191371754498
M1|all3|D_SUBJ_BAND_Z|linsvm,20560827,0.492096280473034,0.489643022308353,0.49266247379454925,0.4809707326741394,0.49190468849787483
M1|all3|D_SUBJ_BAND_Z|linsvm,20560828,0.47372106851064777,0.4650135435706578,0.46750524109014674,0.48902200004404417,0.48880177938294167
M1|all3|D_SUBJ_BAND_Z|linsvm,20560829,0.5353696403796605,0.5291726309762382,0.5324947589098532,0.5099781981545508,0.5252284789358938
M1|all3|D_SUBJ_BAND_Z|linsvm,20560830,0.49997577572727875,0.49213151577881037,0.4947589098532495,0.44876566319452094,0.4630095355546257
M1|all3|D_SUBJ_BAND_Z|linsvm,20560831,0.5229315774405954,0.5132704970380322,0.5167714884696016,0.47179193551939036,0.48211147569865004
M1|all3|D_SUBJ_BAND_Z|linsvm,20560832,0.507626241493977,0.507903719526966,0.5094339622641509,0.5112598824021669,0.5165341672355701
M1|all3|D_SUBJ_BAND_Z|linsvm,20560833,0.5177255610121341,0.520802043647735,0.5251572327044025,0.4768129665925257,0.4904181990354335
M1|all3|D_SUBJ_BAND_Z|linsvm,20560834,0.4652866171904248,0.48469686625999253,0.4863731656184486,0.4863837565240371,0.49562201325728383
M1|all3|D_SUBJ_BAND_Z|linsvm,20560835,0.5009667687022397,0.5080336497170165,0.510482180293501,0.471844788478055,0.49164703032438506
M1|all3|D_SUBJ_BAND_Z|linsvm,20560836,0.5166685018388425,0.5155651963267194,0.5188679245283019,0.5093703891299082,0.5163403730537999
M1|all3|D_SUBJ_BAND_Z|linsvm,20560837,0.5558853971679624,0.5381246008500518,0.539832285115304,0.5035345416106939,0.5137219493932921
M1|all3|D_SUBJ_BAND_Z|linsvm,20560838,0.46544517606641855,0.470120460701623,0.4727463312368973,0.5046180272633178,0.5129137395670462
