unit,fold,fold_protocol,arm,arch,E,mode,control,alff_mode,seed,status,verdict,head,head_ema,probe_honest,probe_old_full,svm_tr_enc,svm_tr_full,fused_auc,alpha_selected,delta_vs_svm_tr_enc,delta_vs_svm_tr_full,movement_max,clip_rate,best_epoch,total_steps,ema_delta,ocread_entropy,n_tr_enc,n_tr_probe,policy_hash,wall_s,node
ctrl_A4_C-PERM_signed_plain_s0,site0,site,A4,WGIN,signed,plain,C-PERM,z,20260818,OK,OVERFIT,0.46725274725274724,0.49637362637362636,0.47373626373626376,0.48956043956043954,0.45571428571428574,0.46604395604395604,,,,,0.01583327166736126,0.06875,15,1280,0.02912087912087913,nan,610,153,798ed7790c1ddabc,942.8,node14.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s0,site1,site,A4,WGIN,signed,plain,C-PERM,z,20260818,OK,UNDERFIT,0.5008773853915333,0.49879359508664184,0.4814652336038605,0.5438692695766616,0.4890326826058346,0.4679754332090371,,,,,0.0004710570501629263,0.06796875,1,1280,-0.0020837903048914197,nan,610,153,798ed7790c1ddabc,1405.4,node14.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s0,site2,site,A4,WGIN,signed,plain,C-PERM,z,20260818,OK,OVERFIT,0.4263770024138688,0.49539170506912444,0.5173359666447224,0.44843098529734476,0.5810840465218344,0.597651964011411,,,,,0.09394410252571106,0.075,45,1520,0.06901470265525567,nan,610,153,798ed7790c1ddabc,835.1,node14.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s1,lab0,lab,A4,WGIN,signed,plain,C-PERM,z,20260819,OK,OVERFIT,0.486046511627907,0.5318936877076412,0.5121816168327796,0.48660022148394244,0.43720930232558136,0.48848283499446293,,,,,0.09362956136465073,0.07421875,46,1536,0.04584717607973421,nan,610,153,798ed7790c1ddabc,781.0,node14.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s1,lab1,lab,A4,WGIN,signed,plain,C-PERM,z,20260819,OK,OVERFIT,0.47168979951531176,0.4876624807226261,0.421458471028861,0.4478960123375193,0.46276712932363956,0.4502092972020269,,,,,0.07003258168697357,0.08357558139534883,36,1376,0.01597268120731432,nan,610,153,798ed7790c1ddabc,748.6,node14.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s1,lab2,lab,A4,WGIN,signed,plain,C-PERM,z,20260819,OK,OVERFIT,0.4211980548187445,0.4719274977895668,0.48729000884173296,0.4377763041556145,0.46374889478337755,0.4848585322723254,,,,,0.10515297204256058,0.08603896103896104,104,2464,0.05072944297082227,nan,610,153,798ed7790c1ddabc,700.1,node14.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s1,loso0,loso,A4,WGIN,signed,plain,C-PERM,z,20260819,OK,OVERFIT,0.41025641025641024,0.4820512820512821,0.39487179487179486,0.31794871794871793,0.441025641025641,0.49743589743589745,,,,,0.11931442469358444,0.08303085299455536,66,2204,0.07179487179487187,nan,740,186,798ed7790c1ddabc,801.6,node14.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s1,loso1,loso,A4,WGIN,signed,plain,C-PERM,z,20260819,OK,OVERFIT,0.41333333333333333,0.4,0.44000000000000006,0.38666666666666666,0.7600000000000001,0.6133333333333333,,,,,0.0808565616607666,0.0848297213622291,35,1615,-0.013333333333333308,nan,747,187,798ed7790c1ddabc,1119.5,node14.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s1,loso2,loso,A4,WGIN,signed,plain,C-PERM,z,20260819,OK,OVERFIT,0.575187969924812,0.5601503759398496,0.4548872180451128,0.4943609022556391,0.5883458646616542,0.4962406015037594,,,,,0.11101695150136948,0.07679914070891515,48,1862,-0.015037593984962405,nan,725,182,798ed7790c1ddabc,1017.9,node14.cognition.gla.alces.network
ctrl_A4_C-PERM_signed_plain_s1,site0,site,A4,WGIN,signed,plain,C-PERM,z,20260819,OK,OVERFIT,0.4702197802197802,0.491978021978022,0.5325274725274726,0.511978021978022,0.45571428571428574,0.46604395604395604,,,,,0.018577393144369125,0.07890625,16,1280,0.02175824175824176,nan,610,153,798ed7790c1ddabc,981.6,node14.cognition.gla.alces.network
