seed,path,branch,n,h_auc,h_bacc,h_fold_sd,z_auc,z_bacc,z_fold_sd,h_loso_auc,h_loso_bacc,h_loso_fold_sd,z_loso_auc,z_loso_bacc,z_loso_fold_sd
1,C,D,954,0.49197736131603864,0.490101081283446,0.04691042468514918,0.4965006936950825,0.49646986280252814,0.026202389069042886,,,,,,
3,C,B,954,0.5275429980840802,0.5237441916800634,0.042250525099113576,0.5165055385496267,0.5129489748728225,0.014248245575632475,0.5381135898169966,0.5282697262657182,0.10483071069335709,0.5351934638507785,0.521255698209606,0.10702041628506383
4,P,C,954,0.4701799202801207,0.4628862119844084,0.053643546864038216,0.46471844788478056,0.4639520799841441,0.044951078037572596,,,,,,
6,O,D,954,0.5105551762866393,0.5070690832213879,0.04087717047612934,0.5122905150961263,0.5066792926512366,0.03499503795315357,,,,,,
8,O,B,954,0.5166068400537338,0.5128190446827721,0.03449269052237932,0.4678896254046555,0.4850910612433659,0.03135017547612695,0.5249179678037394,0.5129159417736572,0.07846867791975692,0.44761611134356627,0.4634367636371644,0.09244003027874395
10,C,C,954,0.4917042876962716,0.4859917637472748,0.048741500889051305,0.4800678279636195,0.48557334449118017,0.030284444011938715,,,,,,
11,P,D,954,0.5040322403047854,0.5141469752692198,0.03533843967384821,0.5049263361888613,0.5009579598757955,0.046869681449255164,,,,,,
13,P,B,954,0.5017331366028761,0.4885485256226739,0.05393252983931212,0.4803453059966086,0.4880970732674139,0.03707008160837198,0.4578827985641613,0.4643088374551301,0.10441635120548691,0.44705234645114406,0.4764958488405382,0.09888015984444914
15,O,C,954,0.4732189654033342,0.47290404985795764,0.049837904843683306,0.4512629654914224,0.47232266731264727,0.020053860718735116,,,,,,
17,C,D,954,0.4982976942896782,0.49175053403510316,0.045914638969800955,0.5216675108458675,0.5249443942830716,0.03948300388649023,,,,,,
19,C,B,954,0.47775551102204405,0.49598097293488075,0.017795568200763022,0.519707546962056,0.530599660860182,0.00851531715421685,0.4796361954678588,0.4824726375828581,0.09837192299690388,0.49754894404193,0.5205796207800215,0.08864740817522401
20,P,C,954,0.45995727719174617,0.4694487876852606,0.04882988796437794,0.45060670792133717,0.46479112070294437,0.04863515276021507,,,,,,
22,O,D,954,0.524076724878328,0.5097844039727807,0.01718631678255421,0.5093703891299082,0.5177343698385782,0.03557356139330924,,,,,,
24,O,B,954,0.532881146909203,0.5177960316236869,0.009031899216111534,0.5073179325684336,0.5058402519324363,0.03086385042241071,0.5295998590587769,0.5138540817899535,0.08842512021249735,0.4848201898302099,0.47998414411240065,0.09680479906953196
26,C,C,954,0.48331828492149137,0.4794313902530336,0.05687973581057172,0.4827721376819573,0.47923759607126337,0.04677933138754499,,,,,,
27,P,D,954,0.5115549780880442,0.5124006254266775,0.039211800206877034,0.4929639498777776,0.4861216939373252,0.047061053772328845,,,,,,
29,P,B,954,0.46363055781893453,0.4824726375828581,0.05208676902567171,0.45604175383734497,0.46414587416591424,0.045826199108288716,0.4501442445330221,0.4671871214957387,0.10204059725662555,0.46639652932238107,0.47458653570878023,0.06825741876716918
34,O,B,954,0.4958488405382193,0.4980202162566892,0.058954889155178075,0.4760862384108877,0.4875795547138233,0.024011246997691256,0.48044660750071577,0.48496333325992647,0.08595158161904307,0.4696293686273646,0.4885837609284503,0.11916002982205424
39,P,B,954,0.46827280935497373,0.4740051531634698,0.039413887523413335,0.454861371093836,0.46666740073553703,0.033952293731519465,0.4565614745975467,0.4889713492919906,0.08368326680644801,0.4514347376070823,0.47859455174084437,0.065417916936705
45,C,B,954,0.5337488163139466,0.53033759827347,0.038595133776415116,0.5075293444030919,0.5027681737100574,0.02234867215478795,0.5128674932282147,0.5027681737100574,0.0686928864216523,0.48916734568037173,0.482018983020987,0.09322234202990864
