source,transform,formula,out_min,out_max,out_mean,out_std,n_nan,zerovar_subjband,zerostd_subjband,zerovar_subj_joint,rank_pres_within_band,rank_pres_within_subject_all270,var_subj_ret,var_band_ret,var_roi_ret,var_tot_ret,pearson_vs_raw,spearman_vs_raw,corr_level_TR,corr_level_NVOL,site_eta2_level
M1,A_RAW,Y = X  (identity),0.46090780494330763,62.0828510771311,5.478723583822304,2.5915778816988446,0,0,0,0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.9999999999999996,0.9999999999999998,-0.123515902667615,0.1421043661730301,0.11123245282908174
M1,B_SUBJ_JOINT_MINMAX,"Y[s,r,b] = (X[s,r,b]-min_{r,b}X[s])/(max_{r,b}X[s]-min_{r,b}X[s])",0.0,1.0,0.28294161806509993,0.17557265579512904,0,0,0,0,1.0,0.9999999999999998,0.0013867111962522572,0.006166216506350196,0.006961485281254748,0.00458970981006599,0.7443642351887961,0.7640598114809801,0.015021842282816647,-0.02901482552413518,0.05609050478799257
M1,C_SUBJ_BAND_MINMAX,"Y[s,r,b] = (X[s,r,b]-min_r X[s,:,b])/(max_r X[s,:,b]-min_r X[s,:,b])",0.0,1.0,0.33710024188900634,0.20889527453585668,0,0,0,0,1.0,0.5687592955972782,0.0013388568672601448,0.00011875310797307263,0.011664683059423642,0.00649723690081557,0.6944017271219606,0.7276518425737479,-0.013169205413503422,0.00727576050895678,0.07284404649832293
M1,D_SUBJ_BAND_ZSCORE,"Y[s,r,b] = (X[s,r,b]-mean_r X[s,:,b])/std_r X[s,:,b]",-2.8196959519945017,7.136493328000642,-1.1944444622413361e-17,0.9999999999999999,0,0,0,0,1.0,0.7643552495004502,1.0047544231641736e-31,1.5260158163920516e-33,0.29685975820487814,0.14889203665414275,0.7288788070787873,0.7564146338229595,0.02387958026144716,-0.024752875965658786,0.009493167042594765
M1,E_TRAINFOLD_BAND_MINMAX,"Y[:,:,b] = (X[:,:,b]-min_{s in TRAIN,r})/(max_{s in TRAIN,r}-min_{s in TRAIN,r})",0.0,1.0,0.09430550085996296,0.04698067644119639,0,0,0,0,1.0,0.9046376188668949,0.0003542049803910597,6.696565156564269e-06,0.0003548226349772754,0.0003286321149068632,0.9700685617143795,0.9725392635981197,-0.12140582639146999,0.13781831853709378,0.11138578943445143
M1,F_TRAINFOLD_BAND_ZSCORE,"Y[:,:,b] = (X[:,:,b]-mean_{s in TRAIN,r})/std_{s in TRAIN,r}",-2.077995961042747,19.925094871325886,0.0021097682896853167,0.9904137677099769,0,0,0,0,1.0,0.8853037154906864,0.15837660452392946,7.647337788135255e-06,0.1587169384056599,0.1460510919153351,0.9660901421016729,0.9775439713415836,-0.1205859050192361,0.13615760226878543,0.11143976934194921
M2,A_RAW,Y = X  (identity),0.5396375084889795,126.18423171250168,13.284947608747562,4.464873049064069,0,0,0,0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.02465996532032034,0.07673356161884498,0.42430943908670177
M2,B_SUBJ_JOINT_MINMAX,"Y[s,r,b] = (X[s,r,b]-min_{r,b}X[s])/(max_{r,b}X[s]-min_{r,b}X[s])",0.0,1.0,0.3650421726824488,0.19111945473430111,0,0,0,0,1.0,0.9999999999999998,0.0005881400358169788,0.003390333920560208,0.004622995578669499,0.0018322788367085298,0.5013291596592349,0.5131358587787528,0.040163366302033696,-0.24979801971255097,0.25064977740557476
M2,C_SUBJ_BAND_MINMAX,"Y[s,r,b] = (X[s,r,b]-min_r X[s,:,b])/(max_r X[s,:,b]-min_r X[s,:,b])",0.0,1.0,0.4036259320786223,0.2136941149345521,0,0,0,0,1.0,0.7705010682988037,0.000606868999355283,0.00015730391637020085,0.006331898908237484,0.002290693028141713,0.4860263459949431,0.49743806582969596,-0.015053482460250145,-0.17688726720780792,0.26064212998478764
M2,D_SUBJ_BAND_ZSCORE,"Y[s,r,b] = (X[s,r,b]-mean_r X[s,:,b])/std_r X[s,:,b]",-4.8445028561953345,6.555588826394108,2.3282012150847292e-17,0.9999999999999999,0,0,0,0,1.0,0.8620782787753527,7.803939899370653e-32,1.2054217712345522e-32,0.17240290348597195,0.05016279999579739,0.5722294350901065,0.5632259007951835,0.03846247567075455,-0.008937143137103084,0.014419486875807047
M2,E_TRAINFOLD_BAND_MINMAX,"Y[:,:,b] = (X[:,:,b]-min_{s in TRAIN,r})/(max_{s in TRAIN,r}-min_{s in TRAIN,r})",0.0,1.0,0.11750430669840337,0.041578627612199826,0,0,0,0,1.0,0.6617292418277342,8.510193330870865e-05,0.0003264838030246085,8.42812087067914e-05,8.672055945265966e-05,0.9501821884002353,0.9434339430473871,0.027219720924985678,0.07044603931469842,0.43058059506818314
M2,F_TRAINFOLD_BAND_ZSCORE,"Y[:,:,b] = (X[:,:,b]-mean_{s in TRAIN,r})/std_{s in TRAIN,r}",-2.91117127033736,22.40543090950254,0.000465211725639391,0.9795796958761557,0,0,0,0,1.0,0.9233173446976104,0.04910804814931678,3.928526659545474e-06,0.04877139100349036,0.04813503805936563,0.9920321013418354,0.9939834042640435,0.026470118774498792,0.07229895218552179,0.4287437348424016
OLD,A_RAW,Y = X  (identity),0.0018327139564376744,51.937839839830396,4.4520574176092085,2.5017306481313413,0,0,0,0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.9999999999999994,0.9999999999999998,-0.07818912555889838,0.140058020480024,0.11785855632298871
OLD,B_SUBJ_JOINT_MINMAX,"Y[s,r,b] = (X[s,r,b]-min_{r,b}X[s])/(max_{r,b}X[s]-min_{r,b}X[s])",0.0,1.0,0.27670181856756454,0.17785314538072855,0,0,0,0,1.0,0.9999999999999998,0.0016448453313776244,0.005959103226691042,0.00682568610476538,0.005054078723941453,0.7876955324896527,0.8137176763126059,-0.0028071950082123993,-0.04088281765487335,0.07217982486265874
OLD,C_SUBJ_BAND_MINMAX,"Y[s,r,b] = (X[s,r,b]-min_r X[s,:,b])/(max_r X[s,:,b]-min_r X[s,:,b])",0.0,1.0,0.33028647516623516,0.20975008095743897,0,0,0,0,1.0,0.7978631596697972,0.0016224355605808137,0.0005162038871396108,0.010562415267050596,0.0070294796205612325,0.7502949518573235,0.785754345329094,-0.05624636738073532,-0.00040259083488363925,0.11687825321096194
OLD,D_SUBJ_BAND_ZSCORE,"Y[s,r,b] = (X[s,r,b]-mean_r X[s,:,b])/std_r X[s,:,b]",-2.569983365636108,6.5590760805628765,-1.3337503406320694e-17,1.0,0,0,0,0,1.0,0.8744540010455865,8.530329620679447e-32,9.47496151222229e-34,0.26167487063145856,0.15977870685403306,0.7906092131507793,0.8235695758920831,0.004053555992263934,-0.0280639884943149,0.011914822461793411
