file_id,max_abs,pearson,spearman,raw_min,raw_max
CMU_a_0050642,2.6152518558053783,0.582715034563161,0.6026295132839804,0.5077145175582596,1.6202508348901317
KKI_0050788,2.6925442301857805,0.6415511665242343,0.6644617895993085,0.4523729963051299,1.539584861925015
Leuven_2_0050728,1.966956847367081,0.7646312757483548,0.7358171351230239,0.13614391123119277,1.5801790105990874
MaxMun_d_0051329,2.327334723602769,0.5763271385065764,0.5117567532552648,0.4783512326156175,1.3823484548113563
NYU_0051010,3.190474701214023,0.57204511521454,0.6055492302134917,0.5126194244174801,1.7404052502704117
NYU_0051079,3.30205590408647,0.6168715705593182,0.6756480427257804,0.4081791861510904,1.8332735603258665
Olin_0050109,2.260537912459955,0.5415364082380891,0.538035424963915,0.44287500409901565,1.6883842565565028
Pitt_0050043,3.389939838559735,0.6385465150509978,0.653754128619353,0.4233015933077843,1.8683957087687957
SDSU_0050202,2.219886540978905,0.6824810638901795,0.5769282005087708,0.18432362369743974,1.7931358854639108
Trinity_0050246,2.571791972302469,0.7011697645515266,0.6790664709621073,0.1757481050880141,1.4929769861265125
UCLA_1_0051236,2.5411415350072706,0.47168364344918656,0.37220294136026855,0.3989190031836809,1.3003713532604955
UM_1_0050277,2.572037375471962,0.6267393836354952,0.5878626592957379,0.5363667770478178,1.6406276878320947
UM_1_0050352,3.1831764881098237,0.5602929943628636,0.5225339167889819,0.43675745466517707,1.6900434184749171
USM_0050435,2.806608842700438,0.6645133991384076,0.6094877082599821,0.43941328287309783,1.36935335600918
USM_0050529,3.18334987321216,0.5440455521086313,0.5013051543154836,0.4186985126636308,1.608527507728491
