source,band,norm,site_bacc,site_acc,site_bacc_chance,sex_bacc,r2_TR,r2_T,r2_age,r2_func_mean_fd,r2_func_dvars,r2_func_perc_fd
M1,classical,A_RAW,0.5421988730893662,0.6205450733752621,0.05263157894736842,0.5361681772822116,0.415117299868349,0.44490404340418344,0.3075006989729995,0.4789317072969881,0.16224749876563616,0.37180964783827175
M2,slow5,C_SUBJ_BAND_MINMAX,0.7337913215400315,0.7924528301886793,0.05263157894736842,0.4983299382283325,0.4598523384299281,0.5208481530173218,0.39925217523887313,0.3232970319144317,0.2671619600388345,0.27658445456938874
M2,classical,F_TRAINFOLD_BAND_Z,0.7337988781723782,0.7935010482180294,0.05263157894736842,0.5469225503698878,0.4628752051925873,0.4812630402385206,0.34509273099302784,0.534667540812604,0.2570808156448854,0.42930368693166354
OLD,slow4,B_SUBJ_JOINT_MINMAX,0.6896655081015273,0.7557651991614256,0.05263157894736842,0.5295745259911094,0.4190129663922395,0.46095448360472113,0.316176656764245,0.3052953296565284,0.20235016197609879,0.25107839098758955
OLD,all3,D_SUBJ_BAND_Z,0.6233416278353822,0.6876310272536688,0.05263157894736842,0.5481926220382176,0.44286560503347816,0.5165367197574302,0.3382690372120647,0.3350848443298803,0.23106460296902376,0.2729596188227764
