source,band,norm,clf,grouped_pooled_auc,grouped_auc_mean,grouped_auc_sd,grouped_bacc,loso_pooled_auc,loso_auc_mean,loso_auc_sd,loso_bacc,loso_per_site_auc
M1,slow4,F_TRAINFOLD_BAND_Z,logreg,0.6079675835186857,0.6152204820593582,0.05257608942901475,0.5608183399766566,0.6095047237331808,0.6148664167482325,0.10981481342770087,0.5702878284040609,"{""CALTECH"": 0.4948, ""CMU"": 0.7778, ""KKI"": 0.7124, ""LEUVEN_1"": 0.3827, ""LEUVEN_2"": 0.7111, ""MAX_MUN"": 0.51, ""NYU"": 0.6014, ""OLIN"": 0.5815, ""PITT"": 0.6194, ""SBL"": 0.5333, ""SDSU"": 0.7409, ""STANFORD"": 0.6421, ""TRINITY"": 0.4623, ""UCLA_1"": 0.6011, ""UCLA_2"": 0.5538, ""UM_1"": 0.7023, ""UM_2"": 0.5962, ""USM"": 0.6736, ""YALE"": 0.7857}"
M1,all3,F_TRAINFOLD_BAND_Z,logreg,0.6176000352353057,0.6341001424038488,0.04918157883568457,0.5862868594331521,0.6141601885088859,0.6274353746760293,0.11965773957724275,0.5710630051311414,"{""CALTECH"": 0.4167, ""CMU"": 0.8485, ""KKI"": 0.7838, ""LEUVEN_1"": 0.4235, ""LEUVEN_2"": 0.7222, ""MAX_MUN"": 0.5418, ""NYU"": 0.6211, ""OLIN"": 0.6222, ""PITT"": 0.6764, ""SBL"": 0.5762, ""SDSU"": 0.6955, ""STANFORD"": 0.75, ""TRINITY"": 0.5, ""UCLA_1"": 0.6253, ""UCLA_2"": 0.5692, ""UM_1"": 0.7237, ""UM_2"": 0.4846, ""USM"": 0.6236, ""YALE"": 0.7169}"
M2,slow4,F_TRAINFOLD_BAND_Z,logreg,0.5677773128674932,0.6023789874747099,0.06844428165851635,0.5537382457222136,0.5718778215772204,0.5853713034065984,0.11640677272446623,0.558942059944064,"{""CALTECH"": 0.5521, ""CMU"": 0.6667, ""KKI"": 0.8271, ""LEUVEN_1"": 0.2857, ""LEUVEN_2"": 0.6259, ""MAX_MUN"": 0.4013, ""NYU"": 0.6496, ""OLIN"": 0.4667, ""PITT"": 0.6578, ""SBL"": 0.5857, ""SDSU"": 0.5136, ""STANFORD"": 0.6921, ""TRINITY"": 0.5893, ""UCLA_1"": 0.561, ""UCLA_2"": 0.5769, ""UM_1"": 0.6491, ""UM_2"": 0.5731, ""USM"": 0.5764, ""YALE"": 0.672}"
M2,all3,F_TRAINFOLD_BAND_Z,logreg,0.5878834592261446,0.6141293556158873,0.060011091948859584,0.5670858199916315,0.5954326234887357,0.612083075108501,0.10802455858167541,0.568023960007928,"{""CALTECH"": 0.6302, ""CMU"": 0.7071, ""KKI"": 0.859, ""LEUVEN_1"": 0.3929, ""LEUVEN_2"": 0.6, ""MAX_MUN"": 0.4682, ""NYU"": 0.6563, ""OLIN"": 0.463, ""PITT"": 0.695, ""SBL"": 0.6143, ""SDSU"": 0.6364, ""STANFORD"": 0.7158, ""TRINITY"": 0.5734, ""UCLA_1"": 0.5666, ""UCLA_2"": 0.4923, ""UM_1"": 0.6528, ""UM_2"": 0.6654, ""USM"": 0.5664, ""YALE"": 0.6746}"
OLD,slow4,F_TRAINFOLD_BAND_Z,logreg,0.5781144706996411,0.5863097291730914,0.03441077351785146,0.5674117465700632,0.5883150917219053,0.5936225283583162,0.09044199945547739,0.5670880221982426,"{""CALTECH"": 0.5417, ""CMU"": 0.697, ""KKI"": 0.6447, ""LEUVEN_1"": 0.5306, ""LEUVEN_2"": 0.6148, ""MAX_MUN"": 0.5452, ""NYU"": 0.586, ""OLIN"": 0.5407, ""PITT"": 0.5332, ""SBL"": 0.4714, ""SDSU"": 0.6273, ""STANFORD"": 0.7421, ""TRINITY"": 0.4444, ""UCLA_1"": 0.5955, ""UCLA_2"": 0.4538, ""UM_1"": 0.6491, ""UM_2"": 0.7577, ""USM"": 0.6264, ""YALE"": 0.6772}"
OLD,all3,F_TRAINFOLD_BAND_Z,logreg,0.6154462771697241,0.6143462525710588,0.022060023888747712,0.5772357902618424,0.6151643947235129,0.6221448099038486,0.10919556745975804,0.5785284855425136,"{""CALTECH"": 0.4583, ""CMU"": 0.7273, ""KKI"": 0.7613, ""LEUVEN_1"": 0.5867, ""LEUVEN_2"": 0.7444, ""MAX_MUN"": 0.5987, ""NYU"": 0.5805, ""OLIN"": 0.5889, ""PITT"": 0.6631, ""SBL"": 0.4762, ""SDSU"": 0.6318, ""STANFORD"": 0.8132, ""TRINITY"": 0.4603, ""UCLA_1"": 0.6347, ""UCLA_2"": 0.4231, ""UM_1"": 0.6885, ""UM_2"": 0.7077, ""USM"": 0.6345, ""YALE"": 0.6415}"
