source,band,norm,site_bacc,site_acc,site_bacc_chance,sex_bacc,r2_TR,r2_T,r2_age,r2_func_mean_fd,r2_func_dvars,r2_func_perc_fd
M1,slow5,C_SUBJ_BAND_MINMAX,0.5144479790709744,0.5985324947589099,0.05263157894736842,0.5097069763222353,0.3040069006590156,0.3665497254715908,0.256882615300701,0.20285496428087169,0.20768692212095186,0.15842968044480954
M1,classical,F_TRAINFOLD_BAND_Z,0.5850405033426165,0.6614255765199162,0.05263157894736842,0.5361681772822116,0.4144838166312368,0.4459868398771476,0.2984057583420675,0.46586629732152074,0.17408928982686922,0.361179888304868
M2,slow4,B_SUBJ_JOINT_MINMAX,0.7570652017158755,0.8228511530398323,0.05263157894736842,0.51757482289098,0.5116005699575218,0.5690848311727363,0.41818094853570864,0.34031509117612424,0.2788917407032272,0.29941715077143527
M2,all3,D_SUBJ_BAND_Z,0.7092666622383957,0.7620545073375262,0.05263157894736842,0.5554955341311143,0.5183133538552855,0.6122753894191297,0.44811473436345495,0.38281113405414624,0.301756094518289,0.33758003287135985
OLD,classical,A_RAW,0.640769748309909,0.6886792452830188,0.05263157894736842,0.5338754505043174,0.38041456715280897,0.4493657679926779,0.31265562967130334,0.48261472002998507,0.13786717044920804,0.37910042087829376
