source,band,norm,clf,grouped_pooled_auc,grouped_auc_mean,grouped_auc_sd,grouped_bacc,loso_pooled_auc,loso_auc_mean,loso_auc_sd,loso_bacc,loso_per_site_auc
M1,slow4,A_RAW,logreg,0.5973705653064371,0.6196170972585489,0.054569397713193704,0.5584267435970842,0.6020128168424762,0.6163493649963019,0.11649411128468466,0.5698033429496355,"{""CALTECH"": 0.5, ""CMU"": 0.798, ""KKI"": 0.7237, ""LEUVEN_1"": 0.3418, ""LEUVEN_2"": 0.7259, ""MAX_MUN"": 0.4866, ""NYU"": 0.6147, ""OLIN"": 0.5852, ""PITT"": 0.6366, ""SBL"": 0.5381, ""SDSU"": 0.7364, ""STANFORD"": 0.6684, ""TRINITY"": 0.4782, ""UCLA_1"": 0.5815, ""UCLA_2"": 0.5615, ""UM_1"": 0.7036, ""UM_2"": 0.6154, ""USM"": 0.6373, ""YALE"": 0.7778}"
M1,all3,A_RAW,logreg,0.6306899513312338,0.6370071533091594,0.04941838962081328,0.5986654627937193,0.6324385033803871,0.637321763054549,0.11464355299204808,0.5784315884516286,"{""CALTECH"": 0.4271, ""CMU"": 0.8485, ""KKI"": 0.7951, ""LEUVEN_1"": 0.5714, ""LEUVEN_2"": 0.763, ""MAX_MUN"": 0.5502, ""NYU"": 0.6327, ""OLIN"": 0.6296, ""PITT"": 0.691, ""SBL"": 0.5905, ""SDSU"": 0.6864, ""STANFORD"": 0.7474, ""TRINITY"": 0.5099, ""UCLA_1"": 0.6132, ""UCLA_2"": 0.5308, ""UM_1"": 0.7384, ""UM_2"": 0.4615, ""USM"": 0.6109, ""YALE"": 0.7116}"
M2,slow4,A_RAW,logreg,0.5686714087515691,0.6010433502803959,0.06895625553800483,0.5592327512167191,0.5767975511462486,0.5913733582454125,0.1148183409900712,0.5597502697703098,"{""CALTECH"": 0.5833, ""CMU"": 0.6667, ""KKI"": 0.8271, ""LEUVEN_1"": 0.2857, ""LEUVEN_2"": 0.637, ""MAX_MUN"": 0.4114, ""NYU"": 0.6507, ""OLIN"": 0.4852, ""PITT"": 0.6326, ""SBL"": 0.6143, ""SDSU"": 0.5136, ""STANFORD"": 0.6868, ""TRINITY"": 0.5913, ""UCLA_1"": 0.5676, ""UCLA_2"": 0.5692, ""UM_1"": 0.6507, ""UM_2"": 0.5962, ""USM"": 0.5709, ""YALE"": 0.6958}"
M2,all3,A_RAW,logreg,0.5920368208945364,0.6146446189792106,0.05351383069172009,0.5737761236759232,0.5983659626946201,0.6142793019461276,0.1066412700384582,0.577105860071792,"{""CALTECH"": 0.651, ""CMU"": 0.7475, ""KKI"": 0.844, ""LEUVEN_1"": 0.4286, ""LEUVEN_2"": 0.6, ""MAX_MUN"": 0.5, ""NYU"": 0.6534, ""OLIN"": 0.4704, ""PITT"": 0.6737, ""SBL"": 0.619, ""SDSU"": 0.6273, ""STANFORD"": 0.7395, ""TRINITY"": 0.5496, ""UCLA_1"": 0.5508, ""UCLA_2"": 0.4538, ""UM_1"": 0.6507, ""UM_2"": 0.6615, ""USM"": 0.5718, ""YALE"": 0.6786}"
OLD,slow4,A_RAW,logreg,0.5822149794093682,0.5879694163963702,0.030938045090043012,0.5603338545222313,0.5845757448963862,0.5914889621481553,0.09579687743514843,0.5664405734546015,"{""CALTECH"": 0.5573, ""CMU"": 0.6869, ""KKI"": 0.6936, ""LEUVEN_1"": 0.4949, ""LEUVEN_2"": 0.6296, ""MAX_MUN"": 0.5602, ""NYU"": 0.5566, ""OLIN"": 0.5407, ""PITT"": 0.5265, ""SBL"": 0.4476, ""SDSU"": 0.5773, ""STANFORD"": 0.7184, ""TRINITY"": 0.4583, ""UCLA_1"": 0.6095, ""UCLA_2"": 0.4385, ""UM_1"": 0.66, ""UM_2"": 0.7731, ""USM"": 0.6373, ""YALE"": 0.672}"
OLD,all3,A_RAW,logreg,0.6192604990200181,0.6195607832776806,0.016982749397200455,0.5838622299544143,0.616701534938008,0.6253181386431238,0.11096576092476905,0.5845405095906098,"{""CALTECH"": 0.4583, ""CMU"": 0.7576, ""KKI"": 0.7914, ""LEUVEN_1"": 0.5867, ""LEUVEN_2"": 0.7333, ""MAX_MUN"": 0.6054, ""NYU"": 0.5939, ""OLIN"": 0.5815, ""PITT"": 0.6764, ""SBL"": 0.4857, ""SDSU"": 0.6318, ""STANFORD"": 0.8289, ""TRINITY"": 0.4722, ""UCLA_1"": 0.6244, ""UCLA_2"": 0.4308, ""UM_1"": 0.6927, ""UM_2"": 0.6769, ""USM"": 0.6182, ""YALE"": 0.6349}"
