source,band,norm,site_bacc,site_acc,site_bacc_chance,sex_bacc,r2_TR,r2_T,r2_age,r2_func_mean_fd,r2_func_dvars,r2_func_perc_fd
M1,slow4,B_SUBJ_JOINT_MINMAX,0.6301284159492092,0.7148846960167715,0.05263157894736842,0.531640454256802,0.43409215409045476,0.448278467644054,0.2767396303697609,0.23130529466796956,0.21009460050268247,0.19148076447801932
M1,all3,D_SUBJ_BAND_Z,0.5423728997242298,0.6205450733752621,0.05263157894736842,0.5407495072286872,0.4163924080188064,0.48070956662969055,0.3309452871577355,0.25451636872652683,0.24320327235168793,0.2169147946496941
M2,classical,A_RAW,0.6804220827552652,0.7379454926624738,0.05263157894736842,0.5531203351669649,0.4572323387803654,0.4780977837394974,0.33561474652805434,0.5249013313654275,0.2700455061976901,0.4283618468456958
OLD,slow5,C_SUBJ_BAND_MINMAX,0.5919114162949418,0.6593291404612159,0.05263157894736842,0.5171500911317658,0.33372029275977433,0.39811564986554937,0.27683567523163366,0.2416117960180657,0.18538653436838992,0.17505278909167143
OLD,classical,F_TRAINFOLD_BAND_Z,0.6629995020024984,0.710691823899371,0.05263157894736842,0.5305641922261718,0.3745650566652794,0.45127340330350696,0.3134519514658862,0.4798943377356786,0.14369261658414056,0.3749967917179692
