cond,seed,perm_auc,perm_bacc
M1D_only|linsvm,21260818,0.5171397740536017,0.5121055297408003
M1D_only|linsvm,21260819,0.5092250434935806,0.5024730780241802
M1D_only|linsvm,21260820,0.5087141315598229,0.5140126406659473
M1D_only|linsvm,21260821,0.49778678235592067,0.494910700521923
M1D_only|linsvm,21260822,0.5201259662181505,0.5314981611574798
M1D_only|linsvm,21260823,0.5269572111255477,0.5286859433152018
M1D_only|linsvm,21260824,0.4639785064634764,0.48149706005417425
M1D_only|linsvm,21260825,0.5430421282124689,0.5367019753793301
M1D_only|linsvm,21260826,0.5294413001827831,0.516888722499945
M1D_only|linsvm,21260827,0.5143385672443789,0.5185690061441564
M1D_only|linsvm,21260828,0.44650619921161006,0.45415226056508623
M1D_only|linsvm,21260829,0.46728181638001276,0.4857957673588936
M1D_only|linsvm,21260830,0.519064502631637,0.5197009403422229
M1D_only|linsvm,21260831,0.47523618665903233,0.47079874033781843
M1D_only|linsvm,21260832,0.5141051333436103,0.5204452861767491
M1D_only|linsvm,21260833,0.5054284392961748,0.501180382743509
M1D_only|linsvm,21260834,0.44823713360787504,0.4608117333568235
M1D_only|linsvm,21260835,0.5098548745843335,0.49739919399238036
M1D_only|linsvm,21260836,0.47843819507146157,0.48531128190446826
M1D_only|linsvm,21260837,0.5157347662357683,0.5212843268955494
M1D_only|linsvm,21260838,0.5195974366315048,0.5240326807461076
M1D_only|linsvm,21260839,0.48079015173203554,0.48020436477350303
M1D_only|linsvm,21260840,0.5157655971283226,0.5124292541126209
M1D_only|linsvm,21260841,0.48761258781298866,0.4876698451848752
M1D_only|linsvm,21260842,0.46698672069413555,0.47015129159417735
M1D_only|linsvm,21260843,0.4885243013499526,0.495555947058953
M1D_only|linsvm,21260844,0.4689202580986148,0.4830804466075007
M1D_only|linsvm,21260845,0.49968508445462356,0.49898258054570677
M1D_only|linsvm,21260846,0.5219537977053007,0.5113942170054394
M1D_only|linsvm,21260847,0.48881939703582994,0.47483758726243697
M1D_only|linsvm,21260848,0.47702878284040606,0.5032812878504261
M1D_only|linsvm,21260849,0.4846484177145499,0.469569909048867
M1D_only|linsvm,21260850,0.49221519963002924,0.4977867823559206
M1D_only|linsvm,21260851,0.4715761192715101,0.48469686625999253
M1D_only|linsvm,21260852,0.5014512541566649,0.5069017155189499
M1D_only|linsvm,21260853,0.49666806139752034,0.5018916954788698
M1D_only|linsvm,21260854,0.5355017727763218,0.5321125768019556
M1D_only|linsvm,21260855,0.5255433944812703,0.5291065647779074
M1D_only|linsvm,21260856,0.49370389129908165,0.4956528441498381
M1D_only|linsvm,21260857,0.4933074941090973,0.49038516593626813
