batch_size,mode,max_dh_across_companions,max_dz
2,eval,3.814697265625e-06,3.814697265625e-06
2,train,32.866512298583984,13.226130485534668
8,eval,3.814697265625e-06,4.76837158203125e-06
8,train,2.193450927734375e-05,9.5367431640625e-06
