file_id,T,max_abs_err,mean_abs_err,corr,n_mismatch_1em8,n_mismatch_1em10,n_dead_roi
CMU_a_0050666,236,0.0,0.0,0.9999999999999999,0,0,0
Caltech_0051468,146,0.0,0.0,1.0,0,0,0
Caltech_0051489,146,0.0,0.0,0.9999999999999998,0,0,0
KKI_0050783,152,0.0,0.0,1.0,0,0,0
KKI_0050799,152,0.0,0.0,1.0,0,0,0
KKI_0050822,152,0.0,0.0,1.0,0,0,0
Leuven_1_0050695,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050722,246,0.0,0.0,0.9999999999999999,0,0,0
Leuven_2_0050741,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050757,246,0.0,0.0,1.0,0,0,0
MaxMun_b_0051324,116,0.0,0.0,1.0,0,0,0
MaxMun_c_0051344,116,0.0,0.0,1.0,0,0,0
MaxMun_d_0051360,196,0.0,0.0,1.0,0,0,0
NYU_0050968,176,0.0,0.0,1.0,0,0,0
NYU_0050987,176,0.0,0.0,1.0,0,0,0
NYU_0051003,176,0.0,0.0,0.9999999999999999,0,0,0
NYU_0051023,176,0.0,0.0,1.0,0,0,0
NYU_0051041,176,0.0,0.0,1.0,0,0,0
NYU_0051058,176,0.0,0.0,1.0,0,0,0
NYU_0051074,176,0.0,0.0,1.0,0,0,0
NYU_0051090,176,0.0,0.0,1.0,0,0,0
NYU_0051107,176,0.0,0.0,1.0,0,0,0
NYU_0051129,176,0.0,0.0,1.0,0,0,0
Olin_0050103,206,0.0,0.0,1.0,0,0,0
Olin_0050120,206,0.0,0.0,1.0,0,0,0
Pitt_0050003,196,0.0,0.0,1.0,0,0,0
Pitt_0050020,196,0.0,0.0,0.9999999999999999,0,0,0
Pitt_0050037,196,0.0,0.0,1.0,0,0,0
Pitt_0050054,196,0.0,0.0,0.9999999999999999,0,0,0
SBL_0051566,196,0.0,0.0,1.0,0,0,0
SBL_0051582,196,0.0,0.0,0.9999999999999999,0,0,0
SDSU_0050197,176,0.0,0.0,1.0,0,0,0
SDSU_0050214,176,0.0,0.0,1.0,0,0,0
Stanford_0051173,176,0.0,0.0,1.0,0,0,0
Stanford_0051190,236,0.0,0.0,1.0,0,0,0
Trinity_0050239,146,0.0,0.0,0.9999999999999998,0,0,0
Trinity_0050260,146,0.0,0.0,1.0,0,0,0
Trinity_0051136,146,0.0,0.0,1.0,0,0,0
UCLA_1_0051211,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051229,116,0.0,0.0,0.9999999999999998,0,0,0
UCLA_1_0051254,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051274,116,0.0,0.0,0.9999999999999999,0,0,0
UCLA_2_0051301,116,0.0,0.0,1.0,0,0,0
UM_1_0050272,296,0.0,0.0,1.0,0,0,0
UM_1_0050291,296,0.0,0.0,1.0,0,0,0
UM_1_0050311,296,0.0,0.0,1.0,0,0,0
UM_1_0050331,296,0.0,0.0,0.9999999999999999,0,0,0
UM_1_0050347,296,0.0,0.0,1.0,0,0,0
UM_1_0050363,296,0.0,0.0,1.0,0,0,0
UM_1_0050380,296,0.0,0.0,0.9999999999999999,0,0,0
UM_2_0050407,296,0.0,0.0,1.0,0,0,0
UM_2_0050426,296,0.0,0.0,1.0,0,0,0
USM_0050446,236,0.0,0.0,1.0,0,0,0
USM_0050483,236,0.0,0.0,1.0,0,0,0
USM_0050502,236,0.0,0.0,0.9999999999999999,0,0,0
USM_0050524,236,0.0,0.0,1.0,0,0,0
Yale_0050559,196,0.0,0.0,1.0,0,0,0
Yale_0050575,196,0.0,0.0,0.9999999999999999,0,0,0
Yale_0050614,196,0.0,0.0,1.0,0,0,0
