batch_size,mode,max_dh_across_companions,max_dz
2,eval,3.814697265625e-06,3.814697265625e-06
2,train,29.27458953857422,8.983839988708496
8,eval,5.7220458984375e-06,2.86102294921875e-06
8,train,2.002716064453125e-05,7.62939453125e-06
