source,band,norm,clf,pooled_auc,pooled_bacc,pooled_acc,pooled_sens,pooled_spec,pooled_f1,pooled_prec,pooled_tn,pooled_fp,pooled_fn,pooled_tp,auc_mean,auc_sd,bacc_mean,bacc_sd,acc_mean,sens_mean,spec_mean,f1_mean,prec_mean,per_fold_auc,best_C,secs
M1,slow5,A_RAW,linsvm,0.6465634565834966,0.5973705653064371,0.59958071278826,0.5494505494505495,0.6452905811623246,0.5668934240362812,0.585480093676815,322,177,205,250,0.6473601953601954,0.02986115369634568,0.5973414363414363,0.027605472089497634,0.5995646183521632,0.5494505494505495,0.6452323232323233,0.5667935776437989,0.5892935178728006,"[0.607802, 0.657802, 0.666593, 0.679451, 0.625153]","[0.001, 0.001, 0.001, 0.001, 0.001]",1.7
M1,classical,A_RAW,linsvm,0.6541214296725318,0.621515558589707,0.6247379454926625,0.5516483516483517,0.6913827655310621,0.5837209302325581,0.6197530864197531,345,154,204,251,0.6560792540792542,0.019699984568914426,0.6215211455211455,0.01881651216531969,0.6247506200055112,0.5516483516483517,0.6913939393939394,0.5835185798876814,0.6234754064911001,"[0.624286, 0.675934, 0.668132, 0.657033, 0.655012]","[0.01, 0.001, 0.001, 0.001, 0.001]",0.6
M2,slow5,A_RAW,linsvm,0.6363099826025679,0.6022198242639125,0.6058700209643606,0.5230769230769231,0.6813627254509018,0.5586854460093896,0.5994962216624685,340,159,217,238,0.6366799866799866,0.023999679380155178,0.6021950271950273,0.0091628385468423,0.605869385505649,0.5230769230769232,0.6813131313131313,0.5581358434846807,0.6008752209533841,"[0.634286, 0.668132, 0.649011, 0.628242, 0.60373]","[0.001, 0.001, 0.001, 0.001, 0.001]",0.7
M2,classical,A_RAW,linsvm,0.6136360633354622,0.5778502059063182,0.5828092243186582,0.4703296703296703,0.685370741482966,0.5181598062953995,0.5768194070080862,342,157,241,214,0.612098124098124,0.028840666799695512,0.5777809967809968,0.03900089283030346,0.582744557729402,0.4703296703296703,0.6852323232323233,0.5183512474607318,0.5784553111634809,"[0.608462, 0.631978, 0.615165, 0.639341, 0.565546]","[0.001, 0.001, 0.001, 0.001, 0.001]",0.7
OLD,slow5,A_RAW,linsvm,0.6334339007685701,0.60008588605783,0.6027253668763103,0.5428571428571428,0.657314629258517,0.565864833906071,0.5909090909090909,328,171,208,247,0.6327989787989787,0.043989137523891456,0.600054834054834,0.04242055897164165,0.6026839349683109,0.5428571428571429,0.6572525252525253,0.5652489625557993,0.5926533832334695,"[0.572637, 0.662967, 0.622308, 0.686813, 0.61927]","[0.001, 0.001, 0.001, 0.001, 0.001]",0.6
OLD,classical,A_RAW,linsvm,0.6227796251844347,0.6081019181219582,0.6111111111111112,0.5428571428571428,0.6733466933867736,0.5710982658959538,0.6024390243902439,336,163,208,247,0.6249810189810191,0.03812702959264594,0.60811544011544,0.028915361718731502,0.6110939652796914,0.5428571428571429,0.6733737373737374,0.5704470619930238,0.605939522941962,"[0.573407, 0.665934, 0.631319, 0.653846, 0.6004]","[0.1, 0.001, 0.001, 0.001, 0.001]",0.6
