auc,bacc,fold_sd,ci_lo,ci_hi,n_feat,feature,loso_auc
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,90,sorted_signed_strength_90,
0.8666666666666667,0.7333333333333334,0.0,0.4966666666666667,1.0,90,sorted_absolute_strength_90,
0.7333333333333333,0.6333333333333333,0.5773502691896258,0.1428571428571429,1.0,90,FC_eigenvalues_90,
0.7333333333333333,0.6333333333333333,0.5773502691896258,0.1428571428571429,1.0,90,FC_eig_zerodiag_90,
0.8,0.7333333333333334,0.28867513459481287,0.4,1.0,270,sorted_Q1_perchannel_270,
0.7333333333333333,0.8,0.28867513459481287,0.33333333333333337,1.0,90,sorted_Q1_nodenorm_90,
0.3333333333333333,0.4666666666666667,0.5773502691896258,0.0,0.8571428571428571,3,Q1_singular_values_3,
0.8666666666666667,0.9,0.0,0.4966666666666667,1.0,540,COMBINED_invariant,
