path,subject,h_max_abs,h_max_rel,z_max_abs,node_equivar_max_abs
P,0,0.00390625,6.31725185940013e-07,0.004150390625,0.0001068115234375
P,1,0.00390625,1.3305985930855968e-06,0.00244140625,0.000102996826171875
P,2,0.001953125,7.214237029984361e-07,0.0018310546875,8.7738037109375e-05
O,0,1.33514404296875e-05,5.839031018695096e-07,7.62939453125e-06,1.7881393432617188e-07
O,1,9.5367431640625e-06,2.3026743747323053e-06,5.7220458984375e-06,1.862645149230957e-07
O,2,9.5367431640625e-06,5.554870767809916e-07,4.76837158203125e-06,1.9371509552001953e-07
