path,repr,target,mean,median,sd,min,q1,q3,max,n_gt0,n_ge25,n_ge50,n_ge75
P,h,signed,-3.8426252342334033,-1.6014985623064881,9.501801594635428,-69.38776838123854,-3.2896782342946844,-0.4365523337463759,0.789868732285951,10,8,7,2
P,h,absolute,-7.367018822284488,-1.9366451993671279,19.78487517730796,-141.84729377831658,-4.171183016002288,-0.46845968948776395,0.7888980816450134,7,4,4,1
P,z,signed,-2.211008261147106,-0.7918541498210866,5.661410397692089,-42.43134914510356,-1.6982518181951731,-0.17980353855110137,0.8655841297010324,17,12,5,3
P,z,absolute,-3.2222523948397863,-1.2177190250901968,7.4649083690938145,-50.25905314085768,-3.1674458371877465,-0.18582925983499887,0.7302586554925211,19,11,2,0
O,h,signed,-1.0046454080420284,-0.7019037179846994,1.0422251340360065,-4.097436551497204,-1.6121322673004799,-0.25403948304017304,0.45886450505794263,12,6,0,0
O,h,absolute,-0.9721674082440215,-0.738571449370317,1.0725089366024443,-7.13127780032357,-1.389339421001778,-0.23884863777530446,0.5362196282005076,6,4,2,0
O,z,signed,-1.0009090511751,-0.6062600426602265,1.246732857212894,-7.1436605363037895,-1.1957965756156455,-0.2980517827585982,0.4059712207340064,7,2,0,0
O,z,absolute,-1.066742470534033,-0.6663021967273669,1.4106267104188992,-7.981067780589058,-1.171421157037722,-0.31876644680905003,0.49597074799883756,5,4,0,0
