curve_epoch,source_epoch,acc,f1,sen,spe
1,0,0.518969298245614,0.40696864823375023,0.35146412409610384,0.6641981199284701
2,0,0.518969298245614,0.40696864823375023,0.35146412409610384,0.6641981199284701
3,0,0.518969298245614,0.40696864823375023,0.35146412409610384,0.6641981199284701
4,0,0.518969298245614,0.40696864823375023,0.35146412409610384,0.6641981199284701
5,5,0.5157017543859649,0.42400110162533855,0.3774725847853862,0.6453115521527428
6,5,0.5157017543859649,0.42400110162533855,0.3774725847853862,0.6453115521527428
7,5,0.5157017543859649,0.42400110162533855,0.3774725847853862,0.6453115521527428
8,5,0.5157017543859649,0.42400110162533855,0.3774725847853862,0.6453115521527428
9,5,0.5157017543859649,0.42400110162533855,0.3774725847853862,0.6453115521527428
10,10,0.5053508771929824,0.3936913844568611,0.34506488146727704,0.6586290195056336
11,10,0.5053508771929824,0.3936913844568611,0.34506488146727704,0.6586290195056336
12,10,0.5053508771929824,0.3936913844568611,0.34506488146727704,0.6586290195056336
13,10,0.5053508771929824,0.3936913844568611,0.34506488146727704,0.6586290195056336
14,10,0.5053508771929824,0.3936913844568611,0.34506488146727704,0.6586290195056336
15,15,0.5062719298245614,0.43093583172079064,0.40022058146849354,0.6043709950622402
16,15,0.5062719298245614,0.43093583172079064,0.40022058146849354,0.6043709950622402
17,15,0.5062719298245614,0.43093583172079064,0.40022058146849354,0.6043709950622402
18,15,0.5062719298245614,0.43093583172079064,0.40022058146849354,0.6043709950622402
19,15,0.5062719298245614,0.43093583172079064,0.40022058146849354,0.6043709950622402
20,20,0.49680921052631577,0.3770284012744609,0.33244009423876275,0.6454877505745885
21,20,0.49680921052631577,0.3770284012744609,0.33244009423876275,0.6454877505745885
22,20,0.49680921052631577,0.3770284012744609,0.33244009423876275,0.6454877505745885
23,20,0.49680921052631577,0.3770284012744609,0.33244009423876275,0.6454877505745885
24,20,0.49680921052631577,0.3770284012744609,0.33244009423876275,0.6454877505745885
25,25,0.5167872807017544,0.4365654878673347,0.39774308533675307,0.6279442735698556
26,25,0.5167872807017544,0.4365654878673347,0.39774308533675307,0.6279442735698556
27,25,0.5167872807017544,0.4365654878673347,0.39774308533675307,0.6279442735698556
28,25,0.5167872807017544,0.4365654878673347,0.39774308533675307,0.6279442735698556
29,25,0.5167872807017544,0.4365654878673347,0.39774308533675307,0.6279442735698556
30,30,0.5241228070175439,0.4299256029199624,0.3853363437208106,0.6542304375777269
31,30,0.5241228070175439,0.4299256029199624,0.3853363437208106,0.6542304375777269
32,30,0.5241228070175439,0.4299256029199624,0.3853363437208106,0.6542304375777269
33,30,0.5241228070175439,0.4299256029199624,0.3853363437208106,0.6542304375777269
34,30,0.5241228070175439,0.4299256029199624,0.3853363437208106,0.6542304375777269
35,35,0.5051973684210527,0.4149320473724303,0.38170531724560514,0.6228588759712922
36,35,0.5051973684210527,0.4149320473724303,0.38170531724560514,0.6228588759712922
37,35,0.5051973684210527,0.4149320473724303,0.38170531724560514,0.6228588759712922
38,35,0.5051973684210527,0.4149320473724303,0.38170531724560514,0.6228588759712922
39,35,0.5051973684210527,0.4149320473724303,0.38170531724560514,0.6228588759712922
40,40,0.4926644736842105,0.38230917032126105,0.34059225119656045,0.6469705196623279
41,40,0.4926644736842105,0.38230917032126105,0.34059225119656045,0.6469705196623279
42,40,0.4926644736842105,0.38230917032126105,0.34059225119656045,0.6469705196623279
43,40,0.4926644736842105,0.38230917032126105,0.34059225119656045,0.6469705196623279
44,40,0.4926644736842105,0.38230917032126105,0.34059225119656045,0.6469705196623279
45,45,0.5084100877192983,0.3624351920748825,0.33005955407174187,0.6833195954080616
46,45,0.5084100877192983,0.3624351920748825,0.33005955407174187,0.6833195954080616
47,45,0.5084100877192983,0.3624351920748825,0.33005955407174187,0.6833195954080616
48,45,0.5084100877192983,0.3624351920748825,0.33005955407174187,0.6833195954080616
49,45,0.5084100877192983,0.3624351920748825,0.33005955407174187,0.6833195954080616
50,50,0.5042653508771929,0.3595182230854286,0.2965117824316298,0.68934609563511
51,50,0.5042653508771929,0.3595182230854286,0.2965117824316298,0.68934609563511
52,50,0.5042653508771929,0.3595182230854286,0.2965117824316298,0.68934609563511
53,50,0.5042653508771929,0.3595182230854286,0.2965117824316298,0.68934609563511
54,50,0.5042653508771929,0.3595182230854286,0.2965117824316298,0.68934609563511
55,55,0.498859649122807,0.4214089319621885,0.39403491725286865,0.5958173596789845
56,55,0.498859649122807,0.4214089319621885,0.39403491725286865,0.5958173596789845
57,55,0.498859649122807,0.4214089319621885,0.39403491725286865,0.5958173596789845
58,55,0.498859649122807,0.4214089319621885,0.39403491725286865,0.5958173596789845
59,55,0.498859649122807,0.4214089319621885,0.39403491725286865,0.5958173596789845
60,60,0.4948903508771929,0.38831044489339284,0.3480166945331984,0.6245979744932468
61,60,0.4948903508771929,0.38831044489339284,0.3480166945331984,0.6245979744932468
62,60,0.4948903508771929,0.38831044489339284,0.3480166945331984,0.6245979744932468
63,60,0.4948903508771929,0.38831044489339284,0.3480166945331984,0.6245979744932468
64,60,0.4948903508771929,0.38831044489339284,0.3480166945331984,0.6245979744932468
65,65,0.4904824561403508,0.35314540160588415,0.30260578351298983,0.6638091509158456
66,65,0.4904824561403508,0.35314540160588415,0.30260578351298983,0.6638091509158456
67,65,0.4904824561403508,0.35314540160588415,0.30260578351298983,0.6638091509158456
68,65,0.4904824561403508,0.35314540160588415,0.30260578351298983,0.6638091509158456
69,65,0.4904824561403508,0.35314540160588415,0.30260578351298983,0.6638091509158456
70,70,0.48835526315789474,0.34756596800239337,0.31977029505458293,0.6724234219116244
